Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT
ARC EN CIEL LES HESPERIDES EHPAD,15991,,Laurent DURIEUX,EHPAD,Val de Loire,02 43 97 22 50,4 Rue Marcel Graffin,72600,NEUFCHATEL EN SAOSNOIS,-
ARDITEYA EHPAD,8193,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 29 39 70,A/A de Madame JUAN,64250,CAMBO LES BAINS,-
ARPEGE EHPAD RESIDENCE DOMUSVI,4473,DOMUSVI,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 03 60 00,"66, avenue d'Espagne",64600,ANGLET,-
ASBL EVASION (ETABLISSEMENT BELGE),13663,,Export,EHPAD,Export,003265457827,"9, rue de Bavay",7380,QUIEVRAIN,-
ASSOCIATION LA PROVIDENCE,16287,,Herve QUELO,EHPAD,Centre Auvergne,04 73 89 19 81,9 rue de la Safournière,63500,ISSOIRE,-
ASSOCIATION MAISON SAINT JOSEPH,16036,,Aurore Auffret,EHPAD,Bretagne,02 98 84 55 90,14 PLACE SAINTE BARBE,29860,BOURG BLANC,-
ASSOCIATION MARIS STELLA EHPAD,12341,,Dorian SANCHEZ,EHPAD,Sud-Est,04 95 37 05 60,LIEU DIT TETTOLA,20217,SAINT FLORENT,-
AU FIL DE L'EAU EHPAD,4316,,Herve QUELO,EHPAD,Centre Auvergne,04 73 33 43 83,"6, rue du Pont Chaput",63530,VOLVIC,-
AU GRE DU VENT EHPAD,12750,,Laurent DURIEUX,EHPAD,Val de Loire,05 55 84 89 89,Place Michel Labrousse,19240,ALLASSAC,-
AUBIN EHPAD,17043,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 63 14 65,11 Rue Delshens,12110,AUBIN,-
AUGUSTE ARVIER EHPAD,6005,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 80 20 12 36,"9, route de Dijon",21360,BLIGNY SUR OUCHE,-
AUX TROIS TILLEULS EHPAD,7925,,Dorian SANCHEZ,EHPAD,Sud-Est,04 98 05 29 30,CHEMIN DU PRUGNON,83470,ST MAXIMIN LA STE BAUME,-
BAPTISTE PAMS EHPAD,2629,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 39 10 17,Route nationale 115,66150,ARLES SUR TECH,-
BATAILLE EHPAD,4093,,Laurent DURIEUX,EHPAD,Val de Loire,05 65 34 54 15,14 chemin Bataillé,46100,FIGEAC,-
BEAU RIVAGE EHPAD,3848,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 23 04 08,12 avenue Beau Rivage,64200,BIARRITZ,-
BEAU SOLEIL EHPAD VALREAS,6342,,Dorian SANCHEZ,EHPAD,Sud-Est,04 90 35 52 12,38 BIS IMPASSE BEAU SOLEIL,84600,VALREAS,-
BEL ADOUR EHPAD,1228,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 62 69 72 21,162 chemin des Carrières,32400,RISCLE,X
BEL AIR EHPAD,15720,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 53 71 71,route D'Albi,81340,VALENCE D'ALBIGEOIS,-
BEL FONTAINE EHPAD,4859,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 79 59 47 56,A l'attention de Mme Chloé SENELLE,73130,LA CHAMBRE,-
BELFONTAINE,8799,UGECAM,Aurelien COURTOISIER,EHPAD,Centre-Est,03 80 53 92 50,"3, rue Georges Bourguoin",21121,FONTAINE LES DIJON,-
BELLEVUE EHPAD,6626,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 42 19 52,29 Avenue Abel Rolland,81390,BRIATEXTE,-
BEREBISTE EHPAD,6664,ADGESSA,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 29 66 47,Route de Pessarou,64240,LABASTIDE CLAIRENCE,-
BERNARD LESGOURGUES EHPAD,3435,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 72 12 38,4 Impasse de la Pépininière,40130,CAPBRETON,-
BETHESDA EHPAD,2060,,Celine LUCION,EHPAD,Grand Nord-Est,03 89 32 71 00,26 rue des Vergers,68100,MULHOUSE,-
BETHLEEM EHPAD,17271,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 85 88 84 15,15 Av. de Bethléem,71600,PARAY LE MONIAL,-
BON ACCUEIL EHPAD,7328,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 74 40 33 09,34 RUE CHARLES DE GAULLE,01150,LAGNIEU,-
BON PASTEUR EHPAD ADGESSA,3478,ADGESSA,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 71 49 52,ADGESSA,33540,SAINT BRICE,-
CAIRE VAL EHPAD,8798,MGEN,Dorian SANCHEZ,EHPAD,Sud-Est,04 42 50 39 44,INSTITUT BOUQUET,13840,ROGNES,-
CANTO MAI EHPAD,7949,,Dorian SANCHEZ,EHPAD,Sud-Est,04 98 00 26 26,175 CHEMIN CANTO MAI,83190,OLLIOULES,-
CAPA HENRI LACLAU,2579,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 39 44 64,Rue de la Pistole,64400,OLORON STE MARIE,-
CASA ASSOLELLADA,2627,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 87 12 01,"1, rue San Pluget",66400,CERET,-
CASTEL GIROU EHPAD,3800,DOMIDEP,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 37 38 39,180 Avenue de Villemur,31620,CEPET,-
CASTEL SAINT JACQUES EHPAD,14936,,Celine LUCION,EHPAD,Grand Nord-Est,02 35 23 43 01,229 Rue des Pommeraies,76160,ST JACQUES SUR DARNETAL,-
CCAS DU LAC EHPAD,6850,SOLEA,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 46 84 81,162 rue François Fabié,12290,PONT DE SALARS,-
CCAS LA VALLEE DU CHER,15074,,Laurent DURIEUX,EHPAD,Val de Loire,02 47 80 30 00,2 place Sisley,37200,TOURS,-
CCAS LES VARENNES DE LOIRE,13398,CCAS,Laurent DURIEUX,EHPAD,Val de Loire,02 47 77 40 00,6 Rue Jean Messire,37000,TOURS,-
CECILE BOUSQUET EHPAD-MULTI,0302,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 34 26 92 69,129 avenue Aimé Césaire,31660,BESSIERES,-
CERILLY EHPAD,4158,,Herve QUELO,EHPAD,Centre Auvergne,04 70 67 50 29,2 avenue de la vigne,03350,CERILLY,-
CHAMPFLEURI EHPAD,3947,,Aurore Auffret,EHPAD,Bretagne,02 40 26 51 82,26 avenue de l'Atlantique,44116,VIEILLEVIGNE,-
CHARLES MICHELLAND EHPAD,13374,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 85 72 01 32,29 rue Charles Michelland,71330,ST GERMAIN DU BOIS,-
CHATEAU DE BEAURECUEIL EHPAD,3941,,Dorian SANCHEZ,EHPAD,Sud-Est,04 42 37 95 00,Avenue Louis Sylvestre,13100,BEAURECUEIL,-
CHATEAU DE NANTOU EHPAD,15646,,Herve QUELO,EHPAD,Centre Auvergne,03 86 41 11 33,30 ROUTE AILLANT NANTOU,89240,POURRAIN,-
CHATEAU DE PARDIAC EHPAD,3385,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 53 20 60 20,Lieu-dit Pomyers,47250,SAMAZAN,-
CHATEAU DE VERNANGE EHPAD +++,4406,DOMIDEP,Aurelien COURTOISIER,EHPAD,Centre-Est,04 72 26 16 16,Chateau de Vernange,01390,ST ANDRE DE CORCY,-
CHATEAU POMEROL EHPAD,7036,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 57 77 50 00,21 avenue des Griffons,33530,BASSENS,X
CHATEAU VACQUEY EHPAD DOMUSVI,6981,DOMUSVI,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 72 91 45,56 avenue de Vacquey,33370,SALLEBOEUF,-
CLAIRBOIS EHPAD,9144,MBV,Laurent DURIEUX,EHPAD,Val de Loire,05 45 66 34 34,LA BOISSIERE,16410,DIRAC,-
CLOS SAINT FRANCOIS EHPAD,9194,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 98 18 40,9 place de la Collégiale,12380,ST SERNIN SUR RANCE,-
COAT KERHUEL EHPAD,4011,,Aurore Auffret,EHPAD,Bretagne,02 98 66 62 98,IMPASSE DE LA LANDE,29500,ERGUE GABERIC,-
COLISEE EHPAD SARMATIA,13965,COLISEE,Celine LUCION,EHPAD,Grand Nord-Est,03 26 73 21 26,24 Rue Bénard,51250,SERMAIZE LES BAINS,-
COLISEE EHPADLES CLOS ST MARTIN D'ABLOIS EHPAD (EX-PROMEDIK),4503,COLISEE,Celine LUCION,EHPAD,Grand Nord-Est,03 26 57 24 24,2 AVENUE DE PARIS,51530,SAINT MARTIN D'ABLOIS,-
COLISEE RESIDENCE LE HAUT DE TICHEMONT,8322,COLISEE,Celine LUCION,EHPAD,Grand Nord-Est,03 82 47 11 47,3 ter avenue Sainte Barbe,54780,GIRAUMONT,-
COLISEE RESIDENCE LES CHARMES,5271,COLISEE,Aurelien COURTOISIER,EHPAD,Centre-Est,03 85 81 77 77,BD COMBES - ZAC LES CHARMES,71600,PARAY LE MONIAL,-
COLONEL PICOT EHPAD,3136,,Dorian SANCHEZ,EHPAD,Sud-Est,04 94 42 51 80,A/A de Monsieur Mathieu Maréchal,83160,LA VALETTE DU VAR,-
COSTE BAILLS EHPAD,2401,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 37 34 34,"2, boulevard des Evadés de France",66200,ELNE,-
CROIX-ROUGE RUSSE EHPAD,2548,,Dorian SANCHEZ,EHPAD,Sud-Est,04 97 00 02 49,"34, avenue Caravadossi",06000,NICE,-
D'ALIGRE EHPAD,8098,,Laurent DURIEUX,EHPAD,Val de Loire,05 46 01 10 05,20 rue des Moulins,17230,MARANS,-
D'ARGENSON - EHPAD RESIDENCE,8381,,Celine LUCION,EHPAD,Grand Nord-Est,03 89 48 13 03,"4, rue de la Synagogue",68540,BOLLWILLER,-
D'ARLANC EHPAD,3686,,Herve QUELO,EHPAD,Centre Auvergne,04 73 95 88 88,13 place des L'Ouche,63220,ARLANC,-
DE BAILLOT EHPAD,1515,,Laurent DURIEUX,EHPAD,Val de Loire,05 65 37 06 66,Rue Edmond Michelet,46200,SOUILLAC,-
DE BOIS D'OLIVES EHPAD,8445,Fondation Père Favron,Export,EHPAD,Dom-Tom,0262 91 73 00,50 chemin Palma - Bois d’Olives,97410,SAINT PIERRE,-
DE BRAS LONG EHPAD,8447,Fondation Père Favron,Export,EHPAD,Dom-Tom,0262 71 71 00,"120, route du Bras Long",97414,ENTRE DEUX,-
DE CLAIRVANS EHPAD,17624,COLISEE,Aurelien COURTOISIER,EHPAD,Centre-Est,03 84 37 70 88,10 RUE DE CLAIRVANS,39380,CHAMBLAY,-
DE FRONTENAUD EHPAD,15216,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 85 71 30 10,495 ROUTE DU CHATEAU DES CROZES,71580,FRONTENAUD,-
DE LA BELLE ETOILE EHPAD,16129,,Celine LUCION,EHPAD,Grand Nord-Est,02 35 55 10 03,33 RUE JACQUES PREVERT,76290,MONTIVILLIERS,-
DE LA CAVALERIE EHPAD,4210,COLISEE,Laurent DURIEUX,EHPAD,Val de Loire,05 53 73 49 00,37 rue Salvador Allende,24130,PRIGONRIEUX,-
DE LA GRANDE LANDE EHPAD,5880,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 08 91 88,271 rue de la Gare,40410,PISSOS,-
DE LEMBEYE AASS Sud Aquitaine Ehpad,10357,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 32 07 05,Ehpad Lembeye,64350,LEMBEYE,X
DE LURCY LEVIS EHPAD,4252,,Herve QUELO,EHPAD,Centre Auvergne,04 70 67 34 00,Rue du Paulat,03320,LURCY LEVIS,-
DE MAUPERTHUIS EHPAD,12547,,Aurore Auffret,EHPAD,Bretagne,02 40  75 49 92,20 Rue Etienne Lemerle,44400,REZE,-
DE MONSEGUR EHPAD,9197,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 61 60 50,53 rue Saint Jean,33580,MONSEGUR,-
DE RAVINE BLANCHE EHPAD,8448,Fondation Père Favron,Export,EHPAD,Dom-Tom,02 62 71 67 00,82 boulevard Hubert Delisle,97410,SAINT PIERRE,-
DE RAYMOND EHPAD RESIDENCE,13935,Fondation Partage et Vie (ex Caisse d'Epargne),Caroline VILLEMUR,EHPAD,Sud-Ouest,05 53 47 02 98,"36, Cours Washington",47000,AGEN,-
DE SAINTE FLORINE EHPAD,3915,,Herve QUELO,EHPAD,Centre Auvergne,04 73 54 14 97,"3, rue Pasteur",43250,STE FLORINE,-
DE VOLVIC EHPAD,4304,,Herve QUELO,EHPAD,Centre Auvergne,04 73 33 43 83,"6, rue Pont Chaput",63530,VOLVIC,-
DE YENNE EHPAD,7639,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 79 36 93 36,127 Route de Chambuet,73170,YENNE,-
DES COURCELLES EHPAD,17188,DOMUSVI,Aurelien COURTOISIER,EHPAD,Centre-Est,03 84 80 08 00,9 AV JEAN FRANCOIS TOMASSIN,39700,ROCHEFORT SUR NENON,-
DES REMPARTS EHPAD SEDNA,7295,SEDNA,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 53 68 31 41,7 Rue André Mazeau,47000,AGEN,-
DES VOSGES EHPAD,4629,,Celine LUCION,EHPAD,Grand Nord-Est,03 89 50 25 01,15 rue des Voges,68270,WITTENHEIM,-
DOMAINE DE COULOMME EHPAD,5736,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 38 79 79,Domaine de Coulomme,64390,SAUVETERRE DE BEARN,X
DOMAINE DE L'OLIVIER,5816,SGA,Dorian SANCHEZ,EHPAD,Sud-Est,04 42 12 57 80,268 route de Mimet,13120,GARDANNE,-
DOMAINE DES TUILERIES EHPAD,4450,,Celine LUCION,EHPAD,Grand Nord-Est,03 20 22 44 38,7 PLACE DES ANCIENS COMBATTANTS,59840,PERENCHIES,-
DOMAINE DU CHATEAU EHPAD,15083,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 85 84 30 00,49 RUE DE BOURGOGNE,71600,PARAY LE MONIAL,-
DOMITYS,16803,,Dorian SANCHEZ,EHPAD,Sud-Est,04 20 58 00 00,LE JARDIN DES PALMIERS,20000,AJACCIO,-
DU BIGNON RESIDENCE,13095,,Aurore Auffret,EHPAD,Bretagne,02 99 69 49 43,Impasse Francois Phily,35720,PLEUGUENEUC,-
DU BOIS JOLI - COLISEE - BONNETAGE,10029,COLISEE,Aurelien COURTOISIER,EHPAD,Centre-Est,03 81 68 57 00,"1, chemin de la Cornaye",25210,BONNETAGE,-
DU CHATEAU DU BOIS D'HURE EHPAD,7984,,Laurent DURIEUX,EHPAD,Val de Loire,05 46 67 66 38,Rue du Bois d'Huré,17140,LAGORD,-
DU HAUT CHABLAIS EHPAD,4795,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 74 41 45,"32, Impasse Aléxis Léaud",74430,ST JEAN D'AULPS,-
DU HAUT CHABLAIS EHPAD,6581,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 50 73 39 87,Lieu-dit Les Auxdevex,74360,VACHERESSE,-
DU MANOIRE EHPAD,2927,,Laurent DURIEUX,EHPAD,Val de Loire,05 53 07 55 42,Lieu dit le Bourg,24330,ST PIERRE DE CHIGNAC,-
DU MARSAN EHPAD,6391,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 05 68 80,54 rue Vice Amiral Georges Gayral,40000,MONT DE MARSAN,-
DU MOULIN DES PRES EHPAD,3345,,Celine LUCION,EHPAD,Grand Nord-Est,02 35 80 61 61,7 Rue Saintonge,76240,LE MESNIL ESNARD,-
DU PARC RESIDENCE,16066,,Aurore Auffret,EHPAD,Bretagne,02 96 27 21 50,a/a de Mme SAVARY,22650,PLOUBALAY,-
DU PARC RESIDENCE,16426,,Niels COLLEU,EHPAD,Normandie,02 33 56 63 10,3 rue Carbonnel,50750,CANISY,-
DU PAYS D'ALBRET EHPAD,5878,CCAS,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 51 01 80,83 route de Luxey,40420,LABRIT,-
DU ROMARIN FOYER EHPAD,1248,,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 02 34 50,"246, Rue du Romarin",34830,CLAPIERS,-
DU VAL ELORN RESIDENCE,15125,CCAS,Aurore Auffret,EHPAD,Bretagne,02 98 68 82 40,60 Rue de Brest,29450,SIZUN,-
E.H.P.A.D. NOEL SARROLA (L'OLIVIER BLEU),8789,,Dorian SANCHEZ,EHPAD,Sud-Est,04 95 27 98 00,CARCOPINO,20167,SARROLA CARCOPINO,-
EAM - EANM CROIX MARINE,5091,,Herve QUELO,EHPAD,Centre Auvergne,04 73 84 03 91,19 avenue du Puy Marmant,63670,LE CENDRE,-
ECHASSIERES EHPAD,3768,,Herve QUELO,EHPAD,Centre Auvergne,04 70 90 66 66,Le Bourg,03330,ECHASSIERES,-
ECUREUIL EHPAD,5862,,Dorian SANCHEZ,EHPAD,Sud-Est,04 67 88 43 00,25 av de la République,34700,LODEVE,-
EFFIAT EHPAD,3113,,Herve QUELO,EHPAD,Centre Auvergne,04 73 63 49 76,"45, rue Antoine Coiffier",63260,EFFIAT,-
EHPA L'ORATOIRE,8868,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 47 05 31,Le Bourg,12800,SAUVETERRE DE ROUERGUE,-
EHPAD,0778,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 58 40 00,Route de Millau,12230,NANT,-
EHPAD ABRAPA NEUDORF - STRASBOURG,9668,,Celine LUCION,EHPAD,Grand Nord-Est,03 88 44 02 02,"6, rue Sainte Agnès",67100,STRASBOURG,X
EHPAD AMITIE ET PÄRTAGE,17926,,IDF,EHPAD,Ile de France,01 53 63 63 00,83 RUE DE SEVRES,75006,PARIS 06,-
EHPAD ANDRE MAGINOT,9542,,Herve QUELO,EHPAD,Centre Auvergne,02 48 52 95 60,Route de bourges,18330,NEUVY SUR BARANGEON,-
EHPAD ASIMAT LA GRAND-MAISON,16493,,Celine LUCION,EHPAD,Grand Nord-Est,03 25 49 00 88,2 RUE BENOIT MALON,10300,STE SAVINE,-
EHPAD AVININ JOHANNEL,9446,,Herve QUELO,EHPAD,Centre Auvergne,04 71 23 03 25,40 avenue du Général de Gaulle,15500,MASSIAC,-
EHPAD CROIX ROUGE LA BELLE IDEE,13893,LA CROIX ROUGE FRANCAISE,Herve QUELO,EHPAD,Centre Auvergne,03 86 91 58 00,7 rue Pierre Larousse,89110,AILLANT SUR THOLON,-
EHPAD DE CHANTELLE,17742,,Herve QUELO,EHPAD,Centre Auvergne,04 70 90 63 20,18 Place de la Chaume,03140,CHANTELLE,-
EHPAD DE LA FORET,10271,,Herve QUELO,EHPAD,Centre Auvergne,04 71 47 88 00,"2, rue du Puy de Peyre Arse",15130,YTRAC,-
EHPAD DE LA NAUXE,15670,,Celine LUCION,EHPAD,Grand Nord-Est,03 25 21 33 75,1 RUE GUILLEMOT,10370,VILLENAUXE LA GRANDE,-
EHPAD DE LIMAGNE,14202,,Herve QUELO,EHPAD,Centre Auvergne,04 71 48 29 36,83 avenue Jean Baptiste Veyre,15000,AURILLAC,-
EHPAD DE PORH KER,9640,,Aurore Auffret,EHPAD,Bretagne,02 97 59 00 59,4 rue hent Guir,56330,PLUVIGNER,-
EHPAD DE SAINT SATURNIN (EX-PROMEDIK),11018,,Laurent DURIEUX,EHPAD,Val de Loire,02 43 61 53 80,Rue de Corbeni,72650,ST SATURNIN,-
EHPAD DU CLOS PRE LES BRUYERES SAINT MAX,10544,,Celine LUCION,EHPAD,Grand Nord-Est,03 83 29 30 58,14 Rue du Clos Pré,54130,ST MAX,-
EHPAD DU DOCTEUR RAYNAUD,15529,,Herve QUELO,EHPAD,Centre Auvergne,04 73 63 81 64,8 rue du Moulin,63720,ENNEZAT,-
EHPAD DU HAUT LEON - RESIDENCE KERSAUDY,15903,,Aurore Auffret,EHPAD,Bretagne,02 98 69 12 35,RESIDENCE KERSAUDY,29250,ST POL DE LEON,-
EHPAD DU LAC,18641,,Herve QUELO,EHPAD,Centre Auvergne,04 73 86 81 59,31 rue des fades,63770,LES ANCIZES COMPS,-
EHPAD DU LAVEZON,16150,COLISEE,Herve QUELO,EHPAD,Centre Auvergne,04 75 52 81 00,2 CHEMIN DE VALPEYROUSE,07220,VIVIERS,-
EHPAD FONDATION DUCHATEL,16445,,Celine LUCION,EHPAD,Grand Nord-Est,03 26 49 40 13,3 RUE WALBAUM,51360,VERZENAY,-
Ehpad Foréa Saint Esprit,17545,,Export,EHPAD,Dom-Tom,+596 596 60 12 95,"7 D5, Saint-Esprit",97270,ST ESPRIT,-
EHPAD GASTON RIMAREIX,14213,,Herve QUELO,EHPAD,Centre Auvergne,05 55 67 07 31,Rue ds Aînés,23700,MAINSAT,-
EHPAD GEORGES DAUDU,12546,,Laurent DURIEUX,EHPAD,Val de Loire,02 54 98 16 16,CHEMIN DES VARENNES,41320,CHATRES SUR CHER,-
EHPAD KERAVALLO,15943,MUTUALITE RETRAITE,Aurore Auffret,EHPAD,Bretagne,02 96 35 93 64,3 Rue Yves Deriennic,22140,CAVAN,-
EHPAD KORIAN LA VILLA DU PRINTEMPS,14380,KORIAN,Herve QUELO,EHPAD,Centre Auvergne,02 48 50 91 00,99 rue Charlet,18000,BOURGES,-
EHPAD L'OMBELLE,16634,,Herve QUELO,EHPAD,Centre Auvergne,04 73 68 60 79,RUE BEAUDET LAFARGE,63350,MARINGUES,-
EHPAD LA MAISON DES CHAMPS FLEURIS,15964,,Herve QUELO,EHPAD,Centre Auvergne,04 73 36 06 06,21 Boulevard Jean-Baptiste Dumas,63000,CLERMONT FERRAND,-
EHPAD LA MAISON SAINT LOUIS,17074,,IDF,EHPAD,Ile de France,01 39 07 25 25,24 BIS RUE MARECHAL JOFFRE,78000,VERSAILLES,-
EHPAD LA TOUR DE VIGENNA,6347,MBV,Laurent DURIEUX,EHPAD,Val de Loire,05 49 23 66 00,2 rue du clos,86100,SENILLE,-
EHPAD LA VIE LA,16595,,Herve QUELO,EHPAD,Centre Auvergne,04 70 48 15 00,5 RUE DES NOYERS,03290,DOMPIERRE SUR BESBRE,-
EHPAD LA VIGIERE,9465,,Herve QUELO,EHPAD,Centre Auvergne,04 71 60 24 24,rue Vigiere,15100,ST FLOUR,-
EHPAD LE BOIS JOLI,15741,,Herve QUELO,EHPAD,Centre Auvergne,05 55 67 73 00,8 rue du Docteur Mazeron,23700,AUZANCES,-
EHPAD LE BREMIEN NOTRE DAME,14920,,IDF,EHPAD,Ile de France,02 37 62 81 68,2 Rue de l'orée du bois,27770,ILLIERS L'EVEQUE,-
EHPAD LE CLOS SAINT-MARTIN,8212,,Aurore Auffret,EHPAD,Bretagne,02 99 84 10 10,17 Rue des tanneurs,35043,RENNES,-
EHPAD LE HOME DU VERGER,13071,KORIAN,Laurent DURIEUX,EHPAD,Val de Loire,02 51 54 89 57,Rue Georges Thébaud,85220,APREMONT,-
EHPAD LE MONASTERE,16412,,Herve QUELO,EHPAD,Centre Auvergne,05 87 65 60 01,15 RUE DU PERE DENIS,23160,AZERABLES,-
EHPAD LE PRE DE CHAMP LONG,14528,,Herve QUELO,EHPAD,Centre Auvergne,04 75 93 40 09,222 Chemin Champ Long,07200,VESSEAUX,-
EHPAD LE SANDRON,14714,,Herve QUELO,EHPAD,Centre Auvergne,04 75 37 60 25,1 Chemin du Sandron,07200,UCEL,-
EHPAD LE VAL FLEURI,12879,BRIDGE,Celine LUCION,EHPAD,Grand Nord-Est,02 32 80 92 80,6 rue du Moulin Traversin,76890,VAL DE SAANE,-
EHPAD LES BOUQUETS,13796,,Herve QUELO,EHPAD,Centre Auvergne,05 55 67 61 11,"7, rue des Bouquets",23190,BELLEGARDE EN MARCHE,-
EHPAD LES BUISSONS,4454,,Celine LUCION,EHPAD,Grand Nord-Est,03 29 30 10 45,95 Xertipole les Buissons,88220,XERTIGNY,-
EHPAD LES CHAMPS BLANCS,17292,,Herve QUELO,EHPAD,Centre Auvergne,03 86 66 38 16,25 rue de la Couée,89140,SERGINES,-
EHPAD LES CYGNES,16176,,Celine LUCION,EHPAD,Grand Nord-Est,03 20 65 39 00,9 RUE JEAN DEPRAT,59115,LEERS,-
EHPAD LES FIORETTI,14419,,Herve QUELO,EHPAD,Centre Auvergne,02 48 20 13 51,"8, rue Bethune Garost",18000,BOURGES,-
EHPAD LES HAUTS VENTS,17076,,Niels COLLEU,EHPAD,Normandie,02 33 98 45 70,31 RUE DU DOCTEUR MAUBERT,61100,FLERS,-
EHPAD LES JARDINS D'HENRIVILLE,15795,,Celine LUCION,EHPAD,Grand Nord-Est,03 60 24 88 00,132 rue Camille Desmoulins,80000,AMIENS,-
EHPAD LES MARRONNIERS,14356,,Herve QUELO,EHPAD,Centre Auvergne,02 48 66 61 51,CCAS Dun sur Auron,18130,DUN SUR AURON,-
