Nom;Numero;TypeVoie;VilleCP;adresse;code_postal;commune;longitude;latitude;result_score;result_score_next;result_label;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
EHPAD RESIDENCE D'URFE;305;R;01570 FEILLENS;305 R;1570;FEILLENS;4.894277;46.333617;0.653965023923445;0.5705578787878787;Feillens;municipality;1159;;Feillens;;1570;Feillens;01, Ain, Auvergne-Rhône-Alpes;1159;;;;ok
EHPAD RESIDENCE L'ALBIZIA Ã€ CERDON;362;R;01450 CERDON;362 R;1450;CERDON;5.459326;46.078035;0.6133807486631015;0.4690245454545454;Cerdon;municipality;1068;;Cerdon;;1450;Cerdon;01, Ain, Auvergne-Rhône-Alpes;1068;;;;ok
EHPAD FONDATION COSTAZ CHAMPAGNE;116;AV;01260 CHAMPAGNE EN VALROMEY;116 AV;1260;CHAMPAGNE EN VALROMEY;5.68845;45.929732;0.741806170798898;0.5825510570824524;Champagne-en-Valromey;municipality;1079;;Champagne-en-Valromey;;1260;Champagne-en-Valromey;01, Ain, Auvergne-Rhône-Alpes;1079;;;;ok
EHPAD RESIDENCE LA JONQUILLERE;;R;01270 COLIGNY; R;1270;COLIGNY;5.345354;46.382747;0.4833263636363636;0.43164311688311685;Grande Rue 01270 Coligny;street;01108_0023;;Grande Rue;Grande Rue;1270;Coligny;01, Ain, Auvergne-Rhône-Alpes;1108;;;;ok
EHPAD MAISON DE RETRAITE BON ACCUEIL;34;R;01150 LAGNIEU;34 R;1150;LAGNIEU;5.348644;45.903206;0.5723396103896103;0.5548055799373041;34 Rue Pasteur 01150 Lagnieu;housenumber;01202_0315_00034;34;34 Rue Pasteur;Rue Pasteur;1150;Lagnieu;01, Ain, Auvergne-Rhône-Alpes;1202;;;;ok
EHPAD LES TILLEULS MONTLUEL;85;PROM;01120 MONTLUEL;85 PROM;1120;MONTLUEL;5.054418;45.849341;0.4705087583148559;;85 Promenade des Tilleuls 01120 Montluel;housenumber;01262_0760_00085;85;85 Promenade des Tilleuls;Promenade des Tilleuls;1120;Montluel;01, Ain, Auvergne-Rhône-Alpes;1262;;;;ok
EHPAD LA RIVIERE D'ARGENT MONTMERLE;72;R;01090 MONTMERLE SUR SAONE;72 R;1090;MONTMERLE SUR SAONE;4.759796;46.07829;0.6894899999999999;0.6761825720620842;72 Rue de Lyon 01090 Montmerle-sur-Saône;housenumber;01263_0120_00072;72;72 Rue de Lyon;Rue de Lyon;1090;Montmerle-sur-Saône;01, Ain, Auvergne-Rhône-Alpes;1263;;;;ok
EHPAD RESIDENCE DOCTEUR PERRET;17;RTE;01560 ST TRIVIER DE COURTES;17 RTE;1560;ST TRIVIER DE COURTES;5.069946;46.460285;0.6411915233415233;0.6227425369978858;Saint-Trivier-de-Courtes;municipality;1388;;Saint-Trivier-de-Courtes;;1560;Saint-Trivier-de-Courtes;01, Ain, Auvergne-Rhône-Alpes;1388;;;;ok
EHPAD PUBLIC LES SAULAIES;119;PL;01990 ST TRIVIER SUR MOIGNANS;119 PL;1990;ST TRIVIER SUR MOIGNANS;4.901293;46.067723;0.6587242657342657;0.5877069565217391;Saint-Trivier-sur-Moignans;municipality;1389;;Saint-Trivier-sur-Moignans;;1990;Saint-Trivier-sur-Moignans;01, Ain, Auvergne-Rhône-Alpes;1389;;;;ok
EHPAD LA MAISON Ã€ SOIE TENAY;2;CHE;01230 TENAY;2 CHE;1230;TENAY;5.512204;45.937426;0.6081896694214876;0.5947081818181817;Le Chanay 01230 Tenay;locality;01416_arc89r;;Le Chanay;;1230;Tenay;01, Ain, Auvergne-Rhône-Alpes;1416;;;;ok
EHPAD PUBLIC DE VILLARS-LES-DOMBES;37;R;01330 VILLARS LES DOMBES;37 R;1330;VILLARS LES DOMBES;5.028554;46.00262;0.6307946753246753;0.6140478354978355;37 Rue des Halles 01330 Villars-les-Dombes;housenumber;01443_0380_00037;37;37 Rue des Halles;Rue des Halles;1330;Villars-les-Dombes;01, Ain, Auvergne-Rhône-Alpes;1443;;;;ok
EHPAD SAINT VINCENT VALSERHONE;83;R;01200 VALSERHONE;83 R;1200;VALSERHONE;5.8332;46.124978;0.5887371786833855;0.5866920855614973;Grande Rue 01200 Valserhône;street;01033_0832;;Grande Rue;Grande Rue;1200;Valserhône;01, Ain, Auvergne-Rhône-Alpes;1033;1205;Lancrans;;ok
EHPAD LA CATHERINETTE PONT D'AIN;;R;01160 PONT D AIN; R;1160;PONT D AIN;5.361868;46.056798;0.5308057142857142;0.5007163636363636;Rue du Plu 01160 Pont-d'Ain;street;01304_4xcrhy;;Rue du Plu;Rue du Plu;1160;Pont-d'Ain;01, Ain, Auvergne-Rhône-Alpes;1304;;;;ok
EHPAD SOEUR ROSALIE CONFORT;;R;01200 CONFORT; R;1200;CONFORT;5.824812;46.151509;0.8038662337662337;0.6399509090909091;Confort;municipality;1114;;Confort;;1200;Confort;01, Ain, Auvergne-Rhône-Alpes;1114;;;;ok
EHPAD RESIDENCE ARY GEOFFRAY;1405;RTE;01250 VILLEREVERSURE;1405 RTE;1250;VILLEREVERSURE;5.396761;46.19103;0.6447985714285714;0.6293343850267379;Villereversure;municipality;1447;;Villereversure;;1250;Villereversure;01, Ain, Auvergne-Rhône-Alpes;1447;;;;ok
EHPAD LA VALSERINE;40;R;01200 VALSERHONE;40 R;1200;VALSERHONE;5.832513;46.125402;0.6402374025974026;0.6373092207792208;40 Grande Rue 01200 Valserhône;housenumber;01033_0832_00040;40;40 Grande Rue;Grande Rue;1200;Valserhône;01, Ain, Auvergne-Rhône-Alpes;1033;1205;Lancrans;;ok
EHPAD EMILE PELICAND;10;AV;01000 BOURG EN BRESSE;10 AV;1000;BOURG EN BRESSE;5.214626;46.19496;0.6432487645687646;0.63083;10 avenue de lyon 01000 Bourg-en-Bresse;housenumber;01053_2390_00010;10;10 avenue de lyon;avenue de lyon;1000;Bourg-en-Bresse;01, Ain, Auvergne-Rhône-Alpes;1053;;;;ok
EHPAD CLAIRVAL;941;CHE;01600 REYRIEUX;941 CHE;1600;REYRIEUX;4.822492;45.954779;0.610206936026936;0.5181154838709677;Chemin de Reyrieux 01600 Toussieux;street;01423_v41y65;;Chemin de Reyrieux;Chemin de Reyrieux;1600;Toussieux;01, Ain, Auvergne-Rhône-Alpes;1423;;;;ok
EHPAD DU CHAVS SITE PONT DE VEYLE;;IMP;01290 PONT DE VEYLE; IMP;1290;PONT DE VEYLE;4.874691;46.261592;0.775502561983471;0.772351652892562;Pont de Veyle 01290 Pont-de-Veyle;street;01306_B010;;Pont de Veyle;Pont de Veyle;1290;Pont-de-Veyle;01, Ain, Auvergne-Rhône-Alpes;1306;;;;ok
EHPAD DU CHAVS SITE THOISSEY;11;R;01140 THOISSEY;11 R;1140;THOISSEY;4.802298;46.172743;0.6852383838383838;0.5476437617554858;Thoissey;municipality;1420;;Thoissey;;1140;Thoissey;01, Ain, Auvergne-Rhône-Alpes;1420;;;;ok
EHPAD CH PAYS DE GEX;160;R;01174 GEX CEDEX;160 R;1174;GEX CEDEX;6.057475;46.333295;0.39456961038961036;0.38927070381231665;160 Rue du Commerce 01170 Gex;housenumber;01173_0140_00160;160;160 Rue du Commerce;Rue du Commerce;1170;Gex;01, Ain, Auvergne-Rhône-Alpes;1173;;;;ok
EHPAD RESIDENCE BON SEJOUR MIRIBEL;80;AV;01700 MIRIBEL;80 AV;1700;MIRIBEL;4.948564;45.835659;0.6431333333333333;0.48484428571428567;Miribel;municipality;1249;;Miribel;;1700;Miribel;01, Ain, Auvergne-Rhône-Alpes;1249;;;;ok
EHPAD BON REPOS BELLEY;40;R;01300 BELLEY;40 R;1300;BELLEY;5.682747;45.755882;0.5408486713286712;0.5309018181818183;40 Rue Mante 01300 Belley;housenumber;01034_0529_00040;40;40 Rue Mante;Rue Mante;1300;Belley;01, Ain, Auvergne-Rhône-Alpes;1034;;;;ok
EHPAD RESIDENCE LES MIMOSAS;2;MTE;01700 ST MAURICE DE BEYNOST;2 MTE;1700;ST MAURICE DE BEYNOST;4.978482;45.831982;0.5294133884297519;;2 Montée de la Paroche 01700 Saint-Maurice-de-Beynost;housenumber;01376_0399_00002;2;2 Montée de la Paroche;Montée de la Paroche;1700;Saint-Maurice-de-Beynost;01, Ain, Auvergne-Rhône-Alpes;1376;;;;ok
RESIDENCE LES AMETHYSTES;37;R;01360 BELIGNEUX;37 R;1360;BELIGNEUX;5.136971;45.858405;0.7019391866028707;0.5366920779220778;Béligneux;municipality;1032;;Béligneux;;1360;Béligneux;01, Ain, Auvergne-Rhône-Alpes;1032;;;;ok
RESIDENCE LE DOMAINE DU CHAPUIS;880;RTE;01400 ROMANS;880 RTE;1400;ROMANS;4.963011;46.121367;0.5579336363636364;0.5506276076555023;Route de Romans 01400 Châtillon-sur-Chalaronne;street;01093_0440;;Route de Romans;Route de Romans;1400;Châtillon-sur-Chalaronne;01, Ain, Auvergne-Rhône-Alpes;1093;;;;ok
EHPAD CH BUGEY SUD;700;AV;01300 BELLEY;700 AV;1300;BELLEY;5.679151;45.748248;0.5725944514106582;0.4948004407713499;700 Av de Narwik 01300 Belley;housenumber;01034_ap8fqy_00700;700;700 Av de Narwik;Av de Narwik;1300;Belley;01, Ain, Auvergne-Rhône-Alpes;1034;;;;ok
EHPAD NANTUA LES JARDINS DU LAC;50;R;01130 NANTUA;50 R;1130;NANTUA;5.5995;46.154802;0.6570127272727272;0.4746781818181818;Nantua;municipality;1269;;Nantua;;1130;Nantua;01, Ain, Auvergne-Rhône-Alpes;1269;;;;ok
EHPAD LE TOURNANT DES SAISONS;1;R;01108 OYONNAX CEDEX;1 R;1108;OYONNAX CEDEX;5.638998;46.264295;0.47531624505928854;0.45816424242424236;Oyonnax;municipality;1283;;Oyonnax;;1100;Oyonnax;01, Ain, Auvergne-Rhône-Alpes;1283;;;;ok
EHPAD CH PONT DE VAUX;;CHE;01190 PONT DE VAUX; CHE;1190;PONT DE VAUX;4.945374;46.432828;0.7658925541125541;0.6576603896103895;Pont-de-Vaux;municipality;1305;;Pont-de-Vaux;;1190;Pont-de-Vaux;01, Ain, Auvergne-Rhône-Alpes;1305;;;;ok
EHPAD LE PETIT CHENE;22;R;01230 ST RAMBERT EN BUGEY;22 R;1230;ST RAMBERT EN BUGEY;5.417262;45.955023;0.5721934343434343;0.5513095357833655;22 Rue Morière 01230 Saint-Rambert-en-Bugey;housenumber;01384_16vog3_00022;22;22 Rue Morière;Rue Morière;1230;Saint-Rambert-en-Bugey;01, Ain, Auvergne-Rhône-Alpes;1384;;;;ok
EHPAD DES MILLE ETANGS A CHALAMONT;;PL;01320 CHALAMONT; PL;1320;CHALAMONT;5.170219;45.996635;0.7793176470588234;0.6285335573122529;Chalamont;municipality;1074;;Chalamont;;1320;Chalamont;01, Ain, Auvergne-Rhône-Alpes;1074;;;;ok
EHPAD LA MAISON BOUCHACOURT;95;R;01750 ST LAURENT SUR SAONE;95 R;1750;ST LAURENT SUR SAONE;4.840736;46.306241;0.6706285026737968;0.5859165116279069;Saint-Laurent-sur-Saône;municipality;1370;;Saint-Laurent-sur-Saône;;1750;Saint-Laurent-sur-Saône;01, Ain, Auvergne-Rhône-Alpes;1370;;;;ok
EHPAD DE MEXIMIEUX SITES LA ROSE D'OR;10;R;01800 MEXIMIEUX;10 R;1800;MEXIMIEUX;5.205121;45.913181;0.58250263322884;0.5653733333333333;10 Rue Pinat 01800 Meximieux;housenumber;01244_0615_00010;10;10 Rue Pinat;Rue Pinat;1800;Meximieux;01, Ain, Auvergne-Rhône-Alpes;1244;;;;ok
EHPAD SITE DU CH DE MEXIMIEUX;13;AV;01800 MEXIMIEUX;13 AV;1800;MEXIMIEUX;5.197079;45.904129;0.6723336363636363;0.548755542521994;Meximieux;municipality;1244;;Meximieux;;1800;Meximieux;01, Ain, Auvergne-Rhône-Alpes;1244;;;;ok
EHPAD ST JOSEPH JASSERON;108;R;01250 JASSERON;108 R;1250;JASSERON;5.326104;46.213108;0.4648922358722358;0.452196275659824;108 Rue Thomas Riboud 01250 Jasseron;housenumber;01195_0135_00108;108;108 Rue Thomas Riboud;Rue Thomas Riboud;1250;Jasseron;01, Ain, Auvergne-Rhône-Alpes;1195;;;;ok
EHPAD PUBLIC LA MONTAGNE CHATILLON;114;RTE;01400 CHATILLON SUR CHALARONNE;114 RTE;1400;CHATILLON SUR CHALARONNE;4.951682;46.116402;0.6782133566433566;0.6610876252319109;114 Route de Relevant 01400 Châtillon-sur-Chalaronne;housenumber;01093_0395_00114;114;114 Route de Relevant;Route de Relevant;1400;Châtillon-sur-Chalaronne;01, Ain, Auvergne-Rhône-Alpes;1093;;;;ok
EHPAD MONTREVEL-EN-BRESSE-FOISSIAT;57;R;01340 MONTREVEL EN BRESSE;57 R;1340;MONTREVEL EN BRESSE;5.113588;46.323734;0.7832101880877742;0.7025833799533798;Montrevel-en-Bresse;municipality;1266;;Montrevel-en-Bresse;;1340;Montrevel-en-Bresse;01, Ain, Auvergne-Rhône-Alpes;1266;;;;ok
EHPAD RESIDENCE AMEYZIEU TALISSIEU;475;RTE;01510 TALISSIEU;475 RTE;1510;TALISSIEU;5.712151;45.869444;0.6019187603305785;0.5891571428571428;Talissieu;municipality;1415;;Talissieu;;1510;Talissieu;01, Ain, Auvergne-Rhône-Alpes;1415;;;;ok
EHPAD CHATEAU DE VERNANGE;;RTE;01390 ST ANDRE DE CORCY; RTE;1390;ST ANDRE DE CORCY;4.95379;45.932605;0.6682936363636363;0.6429069696969696;Saint-André-de-Corcy;municipality;1333;;Saint-André-de-Corcy;;1390;Saint-André-de-Corcy;01, Ain, Auvergne-Rhône-Alpes;1333;;;;ok
RESIDENCE DE L'IRANCE;139;ALL;01400 NEUVILLE LES DAMES;139 ALL;1400;NEUVILLE LES DAMES;5.012837;46.161544;0.5985376033057851;0.5924557059961315;Allee de Bel Air 01400 Neuville-les-Dames;street;01272_0074;;Allee de Bel Air;Allee de Bel Air;1400;Neuville-les-Dames;01, Ain, Auvergne-Rhône-Alpes;1272;;;;ok
EHPAD PLEIN SOLEIL LHUIS;;;01680 LHUIS; ;1680;LHUIS;5.540682;45.744361;0.9349863636363637;0.5014907177033492;Lhuis;municipality;1216;;Lhuis;;1680;Lhuis;01, Ain, Auvergne-Rhône-Alpes;1216;;;;ok
EHPAD CHATEAU DE VALENCE JUJURIEUX;12;PL;01640 JUJURIEUX;12 PL;1640;JUJURIEUX;5.412946;46.04538;0.6663772727272727;0.4852304407713498;Jujurieux;municipality;1199;;Jujurieux;;1640;Jujurieux;01, Ain, Auvergne-Rhône-Alpes;1199;;;;ok
EHPAD RESIDENCE CLAIRES FONTAINES;;;01150 ST VULBAS; ;1150;ST VULBAS;5.273681;45.831355;0.6839192929292929;0.4813868013468013;Saint-Vulbas;municipality;1390;;Saint-Vulbas;;1150;Saint-Vulbas;01, Ain, Auvergne-Rhône-Alpes;1390;;;;ok
EHPAD LA PERGOLA BOURG-EN-BRESSE;32;BD;01000 BOURG EN BRESSE;32 BD;1000;BOURG EN BRESSE;5.229954;46.204085;0.6068573593073592;0.5883566807610994;32 boulevard de brou 01000 Bourg-en-Bresse;housenumber;01053_0620_00032;32;32 boulevard de brou;boulevard de brou;1000;Bourg-en-Bresse;01, Ain, Auvergne-Rhône-Alpes;1053;;;;ok
EHPAD LES CYCLAMENS CHALLEX;554;R;01630 CHALLEX;554 R;1630;CHALLEX;5.980531;46.173459;0.6346896969696969;0.453857012987013;Challex;municipality;1078;;Challex;;1630;Challex;01, Ain, Auvergne-Rhône-Alpes;1078;;;;ok
EHPAD UTRILLO SAINT-BERNARD;750;CHE;01600 ST BERNARD;750 CHE;1600;ST BERNARD;4.737901;45.942337;0.4999236363636363;0.49976865319865316;Chemin du Carre 01600 Saint-Bernard;street;01339_0080;;Chemin du Carre;Chemin du Carre;1600;Saint-Bernard;01, Ain, Auvergne-Rhône-Alpes;1339;;;;ok
EHPAD VILLA ADELAIDE HAUTEVILLE;44;R;01110 PLATEAU D HAUTEVILLE;44 R;1110;PLATEAU D HAUTEVILLE;5.612557;45.954043;0.6790597202797202;0.6717001731601732;Grande Rue 01110 Plateau d'Hauteville;street;01185_0687;;Grande Rue;Grande Rue;1110;Plateau d'Hauteville;01, Ain, Auvergne-Rhône-Alpes;1185;1122;Cormaranche-en-Bugey;;ok
EHPAD DOLCEA JARDINS MEDICIS BELLEY;271;CHE;01300 BELLEY;271 CHE;1300;BELLEY;5.677702;45.738149;0.5129022895622894;0.5117412539184952;Che Floret 01300 Belley;street;01034_0372;;Che Floret;Che Floret;1300;Belley;01, Ain, Auvergne-Rhône-Alpes;1034;;;;ok
EHPAD LES ANCOLIES PERONNAS;131;R;01960 PERONNAS;131 R;1960;PERONNAS;5.222223;46.186245;0.5032554545454545;0.49026844155844157;131 Rue des Peupliers 01960 Péronnas;housenumber;01289_0331_00131;131;131 Rue des Peupliers;Rue des Peupliers;1960;Péronnas;01, Ain, Auvergne-Rhône-Alpes;1289;;;;ok
EHPAD RESIDENCE CAMILLE CORNIER;40;ALL;01250 CEYZERIAT;40 ALL;1250;CEYZERIAT;5.326792;46.179434;0.5953302052785924;0.5685483284457478;40 Allee Hugon 01250 Ceyzériat;housenumber;01072_0340_00040;40;40 Allee Hugon;Allee Hugon;1250;Ceyzériat;01, Ain, Auvergne-Rhône-Alpes;1072;;;;ok
EHPAD L'OREE DE SEILLON;1070;CHE;01960 PERONNAS;1070 CHE;1960;PERONNAS;5.223195;46.16431;0.5270543315508021;0.5068199999999999;Chemin de Corbie 01960 Péronnas;street;01289_0089;;Chemin de Corbie;Chemin de Corbie;1960;Péronnas;01, Ain, Auvergne-Rhône-Alpes;1289;;;;ok
EHPAD KORIAN LES FAUVETTES;177;AV;01330 VILLARS LES DOMBES;177 AV;1330;VILLARS LES DOMBES;5.035493;46.002731;0.7307469696969697;0.6036754066985646;Villars-les-Dombes;municipality;1443;;Villars-les-Dombes;;1330;Villars-les-Dombes;01, Ain, Auvergne-Rhône-Alpes;1443;;;;ok
EHPAD VILLA CHARLOTTE;1;R;01100 OYONNAX;1 R;1100;OYONNAX;5.656018;46.255652;0.5625732323232323;0.5594223232323232;1 Rue Pasteur 01100 Oyonnax;housenumber;01283_1140_00001;1;1 Rue Pasteur;Rue Pasteur;1100;Oyonnax;01, Ain, Auvergne-Rhône-Alpes;1283;;;;ok
EHPAD LES PEUPLIERS BOURG-EN-BRESSE;2;BD;01000 BOURG EN BRESSE;2 BD;1000;BOURG EN BRESSE;5.228838;46.205479;0.5978825942350331;0.5360059307359307;2 boulevard de brou 01000 Bourg-en-Bresse;housenumber;01053_0620_00002;2;2 boulevard de brou;boulevard de brou;1000;Bourg-en-Bresse;01, Ain, Auvergne-Rhône-Alpes;1053;;;;ok
EHPAD KORIAN HOME DE CORTEFREDONE;;;01310 CURTAFOND; ;1310;CURTAFOND;5.092645;46.269001;0.9345272727272725;0.5952124110671937;Curtafond;municipality;1140;;Curtafond;;1310;Curtafond;01, Ain, Auvergne-Rhône-Alpes;1140;;;;ok
EHPAD KORIAN JARDIN DE BROU;19;BD;01009 BOURG EN BRESSE CEDEX;19 BD;1009;BOURG EN BRESSE CEDEX;5.241148;46.204893;0.5668177961432508;0.36001575757575754;Bourg-en-Bresse;municipality;1053;;Bourg-en-Bresse;;1000;Bourg-en-Bresse;01, Ain, Auvergne-Rhône-Alpes;1053;;;;ok
EHPAD CH HIRSON;40;R;02500 HIRSON;40 R;2500;HIRSON;3.98707;49.928504;0.688897012987013;0.5538287012987012;40 Rue d’Hirson 02500 Effry;housenumber;02275_0016_00040;40;40 Rue d’Hirson;Rue d’Hirson;2500;Effry;02, Aisne, Hauts-de-France;2275;;;;ok
EHPAD CRÃ‰CY-SUR-SERRE;6;R;02270 CRECY SUR SERRE;6 R;2270;CRECY SUR SERRE;3.624079;49.694915;0.7857939393939394;0.6432171428571428;Crécy-sur-Serre;municipality;2237;;Crécy-sur-Serre;;2270;Crécy-sur-Serre;02, Aisne, Hauts-de-France;2237;;;;ok
EHPAD LEFÃˆVRE FLAVY-LE-MARTEL;1;PL;02520 FLAVY LE MARTEL;1 PL;2520;FLAVY LE MARTEL;3.19006;49.70627;0.7560927272727272;0.5655972727272727;Flavy-le-Martel;municipality;2315;;Flavy-le-Martel;;2520;Flavy-le-Martel;02, Aisne, Hauts-de-France;2315;;;;ok
EHPAD VENDEUIL;39;R;02800 VENDEUIL;39 R;2800;VENDEUIL;3.350701;49.715124;0.6826356565656565;0.4837663636363636;Vendeuil;municipality;2775;;Vendeuil;;2800;Vendeuil;02, Aisne, Hauts-de-France;2775;;;;ok
EHPAD BUIRONFOSSE;10;R;02620 BUIRONFOSSE;10 R;2620;BUIRONFOSSE;3.828749;49.961344;0.7195934199134199;0.6604885714285713;Buironfosse;municipality;2135;;Buironfosse;;2620;Buironfosse;02, Aisne, Hauts-de-France;2135;;;;ok
EHPAD VUIDET;131;AV;02260 LA CAPELLE;131 AV;2260;LA CAPELLE;3.903313;49.977749;0.6488092561983471;0.5514550649350648;La Capelle;municipality;2141;;La Capelle;;2260;La Capelle;02, Aisne, Hauts-de-France;2141;;;;ok
EHPAD CHARLY-SUR-MARNE;4;R;02310 CHARLY SUR MARNE;4 R;2310;CHARLY SUR MARNE;3.282663;48.973275;0.7943618181818181;0.6607190909090909;Charly-sur-Marne;municipality;2163;;Charly-sur-Marne;;2310;Charly-sur-Marne;02, Aisne, Hauts-de-France;2163;;;;ok
EHPAD CHEVRESIS-MONCEAU;3;R;02270 CHEVRESIS MONCEAU;3 R;2270;CHEVRESIS MONCEAU;3.580107;49.757226;0.7907053146853147;0.6496254545454545;Chevresis-Monceau;municipality;2184;;Chevresis-Monceau;;2270;Chevresis-Monceau;02, Aisne, Hauts-de-France;2184;;;;ok
EHPAD LA MÃˆCHE D'ARGENT;32;R;02380 COUCY LE CHATEAU AUFFRIQUE;32 R;2380;COUCY LE CHATEAU AUFFRIQUE;3.314114;49.520225;0.8091973737373737;0.7115753432282004;Coucy-le-Château-Auffrique;municipality;2217;;Coucy-le-Château-Auffrique;;2380;Coucy-le-Château-Auffrique;02, Aisne, Hauts-de-France;2217;;;;ok
EHPAD CRÃ‰PY;28;R;02870 CREPY;28 R;2870;CREPY;3.504693;49.608923;0.6351624242424242;0.5107216267942584;Crépy;municipality;2238;;Crépy;;2870;Crépy;02, Aisne, Hauts-de-France;2238;;;;ok
EHPAD DERCHE ETREILLERS;45;AV;02590 ETREILLERS;45 AV;2590;ETREILLERS;3.162063;49.827251;0.6765042857142857;0.5888296503496504;Étreillers;municipality;2296;;Étreillers;;2590;Étreillers;02, Aisne, Hauts-de-France;2296;;;;ok
EHPAD LA FERTÃ‰-MILON;15;R;02460 LA FERTE MILON;15 R;2460;LA FERTE MILON;3.130504;49.173076;0.7493496969696969;0.6127403896103896;La Ferté-Milon;municipality;2307;;La Ferté-Milon;;2460;La Ferté-Milon;02, Aisne, Hauts-de-France;2307;;;;ok
EHPAD MRDA LAON;;RTE;02007 LAON CEDEX; RTE;2007;LAON CEDEX;3.333155;49.386089;0.4874745454545454;0.4639263636363636;Place de Laon 02200 Soissons;street;02722_1192;;Place de Laon;Place de Laon;2200;Soissons;02, Aisne, Hauts-de-France;2722;;;;ok
EHPAD LIESSE-NOTRE-DAME;16;R;02350 LIESSE NOTRE DAME;16 R;2350;LIESSE NOTRE DAME;3.808975;49.609108;0.7682252861952861;0.6342863636363637;Liesse-Notre-Dame;municipality;2430;;Liesse-Notre-Dame;;2350;Liesse-Notre-Dame;02, Aisne, Hauts-de-France;2430;;;;ok
EHPAD MARLE;14;R;02250 MARLE;14 R;2250;MARLE;3.828469;49.738842;0.6384587878787877;0.5348604895104894;14 Rue de Marle 02250 Cilly;housenumber;02194_0041_00014;14;14 Rue de Marle;Rue de Marle;2250;Cilly;02, Aisne, Hauts-de-France;2194;;;;ok
