Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT
ANSIAD,16753,,IDF,AMBULATOIRE,Ile de France,01 46 40 12 74,2 RUE DE L'EGLISE,92200,NEUILLY SUR SEINE,-
APAHJ FOYER D'HEBERGEMENT FOYER,15637,APAJH,Aurelien COURTOISIER,EMS,Centre-Est,04 79 69 08 87,11 RUE DANIEL ROPS,73160,COGNIN,-
APAJH,12480,,Celine LUCION,EMS,Grand Nord-Est,03 44 03 03 61,11 RUE VIVALDI,60930,BAILLEUL SUR THERAIN,-
APAJH FOYER DE VIE FOYER,15636,APAJH,Aurelien COURTOISIER,EMS,Centre-Est,04 79 69 08 87,11 RUE DANIELSROPS,73160,COGNIN,-
APEI LAFAYETTE FOYER,17279,,Aurelien COURTOISIER,EMS,Centre-Est,03 83 47 46 83,398 AV PIERRE MENDES FRANCE,39000,LONS LE SAUNIER,-
APF PLATEFORME DE FEYTIAT,14212,,Herve QUELO,EMS,Centre Auvergne,05 55 00 20 13,15 rue de Bourgogne,87220,FEYTIAT,-
ARANDEL PHARMACIE - COMPTOIR ONLY,12444,AELIA,Laurent DURIEUX,PHARMACIE,Val de Loire,05 49 53 08 97,1 rue du stade,86240,FONTAINE LE COMTE,-
ARRAYO MAPHA ADAPEI,17879,ADAPEI,Caroline VILLEMUR,EMS,Sud-Ouest,05 59 65 33 02,113 chemin de Bellevue,64300,BAIGTS DE BEARN,-
ARTES CHAMBORIGAUD MAS,9010,,Dorian SANCHEZ,EMS,Sud-Est,04 66 61 48 64,RUE BASSE DE LA JASSE,30530,CHAMBORIGAUD,-
ARVE ET SALEVE PHARMACIE,17916,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 50 85 06 13,141 ROUTE DE L'EGLISE,74930,PERS JUSSY,-
ASSOCIATION ENTRAIDE UNIVERSITAIRE,14718,,Herve QUELO,EMS,Centre Auvergne,04 70 98 64 64,23-25 avenue Pierre Coulon,03200,VICHY,-
ASSOCIATION LARNAY SAGESSE,2985,,Laurent DURIEUX,EMS,Val de Loire,05 49 58 46 99,5 rue charles Chaubier de Larnay,86580,BIARD,-
ASSOCIATION REBONDS,17176,,Laurent DURIEUX,EMS,Val de Loire,05.49.80.65.80,"25, av. du Général Marigny",79140,CERIZAY,-
ASSOCIATION SAINT VINCENT DE PAUL,0368,,Celine LUCION,EMS,Grand Nord-Est,03 23 62 35 25,5a Rue Paul Doumer,02100,ST QUENTIN,-
ASSOCIATION YVES LEFEVBRE FOYER,16594,,Celine LUCION,EMS,Grand Nord-Est,03 22 83 55 32,3 RUE DU 8 MAI 1945,80300,ALBERT,-
ASVS LES COMPAGNONS,3523,,Niels COLLEU,EMS,Normandie,,,14400,BAYEUX,-
ATLANTIS PHARMACIE,0576,PHARMACTIVE,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 56 12 52 35,Centre Commercial Intermarché,33700,MERIGNAC,X
ATRE DU VAL DE FENSCH,0421,,Celine LUCION,EMS,Grand Nord-Est,03 82 84 98 98,29-31 rue Jean Burger,57650,FONTOY,X
AUBIGNOISE PHARMACIE - COMPTOIR ONLY,0991,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 21 59 09 75,"1, Rue Emile Delombre",62690,AUBIGNY EN ARTOIS,-
AUDIN PHARMACIE (GIPHAR),9462,GIPHAR,Herve QUELO,PHARMACIE,Centre Auvergne,04 71 60 01 45,6 Place de la Liberté,15100,ST FLOUR,-
AUDRAIN-ROCHARD PHARMACIE PAS FDP 2+2,4881,,IDF,PHARMACIE,Ile de France,01 46 77 33 08,66 Rue Marcel Grosmenil,94800,VILLEJUIF,-
AUZITS FOYER DE VIE,18025,,Dorian SANCHEZ,EMS,Sud-Est,05 65 43 76 50,122 RUE SENTEUL,12390,AUZITS,-
AZEMA PHARMACIE,3733,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 63 74 01 77,19 allée du chateau,81260,BRASSAC,-
BAGATELLE HOPITAL-MULTI PUI,4309,,Caroline VILLEMUR,HÔPITAUX ET CLINIQUES ,Sud-Ouest,05 57 12 34 56,203 route de Toulouse,33401,TALENCE CEDEX,-
BAIGURA PHARMACIE (EX 0931),18295,GIPHAR,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 37 60 25,162 Route d'Helette,64780,IRISSARRY,-
BALANANT PHARMACIE,5856,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 85 60 15,"11, rue Jean D'Arvor",63330,PIONSAT,-
BALARD PHARMACIE,3544,,Dorian SANCHEZ,PHARMACIE,Sud-Est,05 65 70 13 01,231 avenue du Centre,12160,BARAQUEVILLE,-
BALBAL MARINELLO,15739,,Celine LUCION,AMBULATOIRE,Grand Nord-Est,0670144473,10 RUE DES VERGERS,68100,MULHOUSE,-
BARONI LOUVEL PHARMACIE - COMPTOIR ONLY,1830,,Celine LUCION,PHARMACIE,Grand Nord-Est,02 35 67 23 33,"5 b, Avenue Jean Lagarrigue",76530,GRAND COURONNE,-
BARRES PHARMACIE,3790,,Herve QUELO,PHARMACIE,Centre Auvergne,04 70 90 71 67,40 rue des Fosses,03450,EBREUIL,-
BARRIERE ET ASSOCIES PHARMACIE,10187,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 80 95 01 82,20 rue Anatole,21120,IS SUR TILLE,-
BASSE NAVARRE PHARMACIE,4082,PHARMACORP,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 65 70 54,12 rue Thiers,64120,ST PALAIS,-
BEAUDUFE PHARMACIE,18016,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 55 85 02 15,45 Av. Edmond Michelet,19240,VARETZ,-
BEAUSEJOUR GUYET PHARMACIE au 01-09-2025 (ex 2000),18689,LAFAYETTE,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 56 91 81 70,Giratoire de Beauséjour,33450,SAINT-LOUBES,-
BEAUSEJOUR PHARMACIE (new 18689 au 01-09-2025),2000,LAFAYETTE,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 56 91 81 70,Rond Point Beau Séjour,33450,SAINT-LOUBES,-
BELHOMME PHARMACIE,0927,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 56 05 02 47,"62, Avenue de Montesquieu",33160,ST MEDARD EN JALLES,-
BELLEPIERRE PHARMACIE,11567,,Export,PHARMACIE,Dom-Tom,0262 98 07 83,41 Allée des Topazes,97400,SAINT DENIS,-
BELLES TERRES RESIDENCE,5278,Association des Paralysés de France,Dorian SANCHEZ,EMS,Sud-Est,04 67 98 50 07,142 RUE DU DOCTEUR CELESTE BRINGER,34500,BEZIERS,-
BENTOLILA PHARMACIE,11252,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 45 40 34,32 avenue du Général de Gaulle,40530,LABENNE,-
BENU BEL-AIR PHARMACIE,4496,,Export,PHARMACIE,Export,0041 24 425 24 21,Place Bel-Air 2,1400,YVERDON,-
BERNARD QUETIN FAM,14282,,Aurelien COURTOISIER,EMS,Centre-Est,04 37 05 04 20,RUE DE LA PAIX,38110,LA TOUR DU PIN,-
BERTHELOT PHARMACIE (arrêt PDA),3000,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 36 30 60,34 boulevard Berthelot,63000,CLERMONT FERRAND,-
BIGNON PHARMACIE,2958,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 53 50 00 73,2 rue Cornarie,24120,TERRASSON LA VILLEDIEU,-
BITAUD PHARMACIE (EX 9195),14253,,Dorian SANCHEZ,PHARMACIE,Sud-Est,05 65 99 69 16,4 Avenue de Saint Affrique,12380,ST SERNIN SUR RANCE,-
BLANCHARD PHIE,6535,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 68 82 01 09,7 Av. Castellane,66660,PORT VENDRES,-
BLEAS GERMAN PHARMACIE (COMPTOIR ONLY),3202,UNIVERS PHARMACIE,Niels COLLEU,PHARMACIE,Normandie,02 31 97 20 32,26 Bd Paul Doumer,14780,LION SUR MER,-
BLOIS PHARMACIE,2754,,Herve QUELO,PHARMACIE,Centre Auvergne,04 70 05 21 08,40 avenue du 4 septembre,03630,DESERTINES,-
BLOSSAC DARNICHE,6820,GIPHAR,Laurent DURIEUX,PHARMACIE,Val de Loire,05 49 21 03 35,53 BLD DE BLOSSAC,86100,CHATELLERAULT,X
BOIS GENTIL SAUVABLIN,17767,,Export,EMS,Export,,ROUTE DU PAVEMENT 20,1018,LAUSANNE,-
BON PASTEUR FOYER DE VIE ADGESSA,11427,ADGESSA,Caroline VILLEMUR,EMS,Sud-Ouest,05 56 71 52 80,ADGESSA,33540,SAINT-BRICE,-
BORRELLY TAVEL PHARMACIE,11408,,Dorian SANCHEZ,PHARMACIE,Sud-Est,,ROUTE COMMANDERIE,30126,TAVEL,-
BOUCHER PHARMACIE,15894,,Laurent DURIEUX,PHARMACIE,Val de Loire,05 53 07 55 11,632 Avenue du Manoire,24330,ST PIERRE DE CHIGNAC,-
BOUDET PHARMACIE (ex 3789),3492,,Herve QUELO,PHARMACIE,Centre Auvergne,04 73 85 06 63,206 avenue Jean Jaurès,63700,ST ELOY LES MINES,-
BOULANGER PHARMACIE,16550,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 20 75 32 30,45 RUE JOSEPH LEROY,59115,LEERS,-
BOURDELEIX PHARMACIE,4222,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 97 13 57,2 avenue du Général Leclerc,83990,ST TROPEZ,-
BOUROUAHA CABINET INFIRMIER,17489,,Aurelien COURTOISIER,AMBULATOIRE,Centre-Est,06 50 42 95 55,2 RUE DES MARAICHERS,69120,VAULX EN VELIN,-
BOUYSSIE PHARMACIE,3135,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 63 56 40 28,Grand Rue,81340,VALENCE D'ALBIGEOIS,-
BRASSALAY MAISON D'ENFANTS,13647,,Caroline VILLEMUR,EMS,Sud-Ouest,05 59 69 15 62,1 Lotissement de la Plaine,64300,BIRON,-
BREHANT PHARMACIE VENDUE 01-03-23 (NEW 16501),7504,A2VP,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 58 04 18 18,23 place Aristid Briant,40110,MORCENX,-
BREVIERE PHARMACIE,3839,PHARMAVIE,Laurent DURIEUX,PHARMACIE,Val de Loire,05 45 39 55 40,54 avenue de la République,16260,CHASSENEUIL SUR BONNIEURE,-
BRILLEAUD PHARMACIE,16876,PHARMACTIVE,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 63 98 01 15,88 BIS CARNOT,81270,LABASTIDE ROUAIROUX,-
BROSSARD PHARMACIE,8428,,Aurore Auffret,PHARMACIE,Bretagne,02 40 75 69 22,75 Rue de la commande de 1871,44400,REZE,-
BURCET GISELE PHARMACIE,2127,GIPHAR,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 68 39 71 52,"8, Place du Foirail",66230,PRATS DE MOLLO LA PRESTE,-
BYRON,17765,,Export,EMS,Export,,AVENUE BYRON 2,1844,VILLENEUVE,-
C.A.L.M.E,16892,A2VP,Laurent DURIEUX,EMS,Val de Loire,02.54.31.56.00,8 RUE DE VALLIERES,36120,ARDENTES,-
C.M.E. MILLE SOLEILS,8755,,Aurelien COURTOISIER,EMS,Centre-Est,03.85.77.40.50,1 rue de Charleville,71670,LE BREUIL,-
C.M.S.E.A IMPRO (ASSOCIATION),6443,,Celine LUCION,EMS,Grand Nord-Est,03 87 86 12 23,"4, rue du Calvaire",57340,MORHANGE,-
CABINET B-SANTE CABINET INFIRMIER,14203,,Aurelien COURTOISIER,AMBULATOIRE,Centre-Est,04 28 38 24 80,5 Place de l’Abbé Pierre,69009,LYON 09,-
CABINET D'INFIRMIERS GAMBETTA,14402,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,05 58 71 01 01,9 rue Gambetta,40800,AIRE SUR L'ADOUR,-
CABINET FORESTIER,4031,,Aurelien COURTOISIER,EMS,Centre-Est,06 08 25 67 03,11 BIS RUE MARECHAL JOFFRE,38600,FONTAINE,-
CABINET IDEL BALMA VIDAILHAN,17109,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,,10 Rue Etienne Ventenat,31130,BALMA,-
CABINET IDEL CALYPSO,17668,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,,136 ave de la Libération Charles de,33110,LE BOUSCAT,-
CABINET IDEL MONTEIL MARTINE,18113,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,,17 Cours des Aubiers,33000,BORDEAUX,-
CABINET IDEL VOUBNOV LALOUX,16636,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,06 49 84 61 98,24 rue Achard,33300,BORDEAUX,-
CABINET INFIRMIER A.V.I SOINS,16071,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,05 64 37 29 60,68 rue du Palais Gallien,33000,BORDEAUX,-
CABINET INFIRMIER ALEXANDRA MILHAUD,17609,,Aurore Auffret,AMBULATOIRE,Bretagne,,,22420,LANVELLEC,-
CABINET INFIRMIER BARADJI,16070,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,06 70 69 36 67,2 avenue du Professeur Vincent,33310,LORMONT,-
CABINET INFIRMIER BRIAND,17180,,Celine LUCION,AMBULATOIRE,Grand Nord-Est,06 32 78 87 48,131 AVENUE ARISTIDE BRIAND,68200,MULHOUSE,-
CABINET INFIRMIER CAMPAS CAMILLE,18177,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,05 53 40 13 54,14 avenue du Maréchal Leclerc,47300,VILLENEUVE SUR LOT,-
CABINET INFIRMIER DES AUBIERS,16112,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,06 05 46 34 35,17cours des aubiers,33300,BORDEAUX,-
CABINET INFIRMIER DUSSAU,7158,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,05 58 71 06 06,31 rue Paul Duthil,40800,AIRE SUR L'ADOUR,-
CABINET INFIRMIER GAMBETTA,18719,,Laurent DURIEUX,AMBULATOIRE,Val de Loire,06 71 21 66 76,88 rue Gambetta,72000,LE MANS,-
CABINET INFIRMIER GUERRIER,17093,,Celine LUCION,AMBULATOIRE,Grand Nord-Est,,38 RUE D'ELBEUF,76000,ROUEN,-
CABINET INFIRMIER LOUIS,16265,,Celine LUCION,AMBULATOIRE,Grand Nord-Est,,5 route de Hallering,57690,CREHANGE,-
CABINET INFIRMIER MARQUEHOSSE,15408,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,06 12 19 18 87,6 cours de Tournon,33000,BORDEAUX,-
CABINET INFIRMIER MONDON LOLA,15696,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,06 87 70 37 76,7 rue de Hapchot,40130,CAPBRETON,-
CABINET INFIRMIER PUCH DOMINIQUE,15298,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,06 13 25 23 42,31 Rue Georges Lafont,33110,LE BOUSCAT,-
CABINET INFIRMIER RIVES SEINE,17951,,Celine LUCION,PHARMACIE,Grand Nord-Est,,9 rue de la Sainte Gertrude,76490,RIVES EN SEINE,-
CABINET INFIRMIER ROMUALD MAURIOL,9382,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,06 49 73 30 67,1 place Rouillaou,33320,EYSINES,-
CABINET INFIRMIER VALERIE LUCE,15791,,Herve QUELO,AMBULATOIRE,Centre Auvergne,,6 Rue Viviani,63000,CLERMONT FERRAND,-
CABINET INFIRMIERES,13649,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,06 09 87 81 49,47 route de la Métairie,47250,BOUGLON,-
CABINET INFIRMIERS DU CLAVIER-BOUGLON,13648,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,06 22 14 41 01,Lieu-dit du Clavier,47250,BOUGLON,-
CABINET LOURTIES IDEL,14403,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,05 58 71 66 64,12 rue Victor Lourties,40800,AIRE SUR L'ADOUR,-
CABINET MAYAUD STEPHANIE,17177,,Export,AMBULATOIRE,Dom-Tom,,3 rue Victor Hugo,97215,RIVIERE SALEE,-
CABINET NATALI-CELESTIN MARIE-NOELLE,15985,,Export,AMBULATOIRE,Dom-Tom,,"66, rue Joinville St-Prix",97215,RIVIERE SALEE,-
CABINET PRO MANDE,17240,,Export,PHARMACIE,Dom-Tom,,quartier Plaisance,97215,RIVIERE SALEE,-
CABINET RAYNAUD -GUARESI,17468,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,05 61 36 53 05,23 Route de Mons,31130,BALMA,-
CABINET ROYER DOMINIQUE,14449,,Laurent DURIEUX,AMBULATOIRE,Val de Loire,02 43 33 10 52,3 Rue du Général de Gaulle,72260,MAROLLES LES BRAULTS,-
CAILLABET PHARMACIE,13126,PHARMACIE REFERENCE/PHR,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 63 89 09,15 rue Amedée Dufourg,64600,ANGLET,-
CANALS PHARMACIE,7005,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 63 64 01 57,193 bis Grand Rue,82170,CANALS,-
CANINO PHIE (COMPTOIR ONLY),16974,MEDIPRIX,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 91 66 41 42,15 CHEMIN DE CHATEAU GOMBERT,13013,MARSEILLE 13,-
CANTAREL ROUSSIGNOL PHARMACIE (EX 10272),14914,,Herve QUELO,PHARMACIE,Centre Auvergne,04 71 47 72 79,4 Rue des Dahlias,15130,YTRAC,-
CAPS DE ROSIERE,4155,,Celine LUCION,EMS,Grand Nord-Est,03 83 48 14 12,"4, rue Léon PARISOT",54110,ROSIERES AUX SALINES,-
CAPS DOMBALSE,14774,,Celine LUCION,EMS,Grand Nord-Est,0383362702,13 RUE CARNOT,54110,DOMBASLE SUR MEURTHE,-
CAREMEAU PHARMACIE,15494,UPP,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 66 08 14 79,230 RUE LAENNEC,30900,NIMES,-
CARETTE PARENT PHARMACIE,3428,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 20 58 41 96,1 rue Jules Guesde,59184,SAINGHIN EN WEPPES,-
CASABIANCA ET FILS PHARMACIE,9176,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 95 21 04 64,4 COURS GRANVAL,20000,AJACCIO,-
CASTILLON FOYER DE VIE,7502,,Caroline VILLEMUR,EMS,Sud-Ouest,05 58 07 85 87,Chemin des Muletiers,40110,MORCENX,-
CAT DES MENHIRS,11865,,Aurore Auffret,EMS,Bretagne,02 99 08 10 64,"20, rue du Menhir",56200,LA GACILLY,-
CATHALAU PHARMACIE,7244,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 63 42 06 74,1 Place Bosquet,81300,GRAULHET,-
CAUCHOISE PHARMACIE,16961,COTE PHARMA (leader Santé),Celine LUCION,PHARMACIE,Grand Nord-Est,02 35 71 30 20,7 PLACE CAUCHOISE,76000,ROUEN,X
CAYOL SALESSE PHARMACIE,12702,GIPHAR,Laurent DURIEUX,PHARMACIE,Val de Loire,05 55 84 92 92,14 Avenue du Midi,19240,ALLASSAC,-
CENTRALE DE BOULOGNE SUR GESSE PHARMACIE (ex 5224),18279,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 61 88 20 24,43 rue Porte de Dessus,31350,BOULOGNE SUR GESSE,-
CENTRALE DE MORZINE PHARMACIE,4721,COS,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 50 74 70 23,"57, route de la Plagne",74110,MORZINE,X
CENTRALE LEGO PHARMACIE,6968,UPP,Celine LUCION,PHARMACIE,Grand Nord-Est,03 89 45 48 96,"16, avenue de Colmar",68100,MULHOUSE,-
CENTRALE MARSAN PHARMACIE,10015,,Dorian SANCHEZ,PHARMACIE,Sud-Est,00 377 93 30 21 01,"1, place d'Armes",98000,MONACO,-
CENTRALE PHARMACIE,4625,,Herve QUELO,PHARMACIE,Centre Auvergne,04 77 24 70 20,6 rue des tilleuls,42440,NOIRETABLE,-
CENTRALE PHARMACIE,5214,DPGS (Apsara),Celine LUCION,PHARMACIE,Grand Nord-Est,03 21 77 11 42,11 RUE LOUIS BLANC,62970,COURCELLES LES LENS,-
CENTRALE PHARMACIE,11476,PHARM & YOU,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 59 60 03 02,10 place Pierre et Marie Curie,64150,MOURENX,-
CENTRALE PHARMACIE,14440,RESEAU P&P,Laurent DURIEUX,PHARMACIE,Val de Loire,05 53 05 20 14,5Bis place Pasteur,24210,THENON,-
CENTRALE PHARMACIE,8242,COS,Aurelien COURTOISIER,PHARMACIE,Centre-Est,04 50 39 87 24,5 COURS DE LA REPUBLIQUE,74240,GAILLARD,-
CENTRALE PHARMACIE,16371,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 80 37 71 15,13 Rue Bernard Laureau,21110,GENLIS,-
CENTRALE PHARMACIE (WROBEL) ++,4221,,Aurelien COURTOISIER,PHARMACIE,Centre-Est,03 85 55 08 03,Centre Commercial l'Arche,71200,LE CREUSOT,-
CENTRALE PHARMACIE 87,8423,GIPHAR,Herve QUELO,PHARMACIE,Centre Auvergne,05 55 75 07 12,"6, rue Emile Frange",87500,ST YRIEIX LA PERCHE,X
CENTRALE PHARMACIE COMPTOIR ONLY,10991,PHARMAVIE,Niels COLLEU,PHARMACIE,Normandie,02 31 54 07 35,2 Avenue de la Grande Cavée,14200,HEROUVILLE ST CLAIR,-
CENTRALE PHARMACIE-FLEXI,10996,,Caroline VILLEMUR,PHARMACIE,Sud-Ouest,05 61 74 32 50,59 Avenue de Toulouse,31240,L'UNION,-
CENTRALE PHIE - BISCHWILLER,11924,,Celine LUCION,PHARMACIE,Grand Nord-Est,03 88 63 21 13,"18, place de la Mairie",67240,BISCHWILLER,-
CENTRALE PHIE SAINT-RAPHAEL,1707,,Dorian SANCHEZ,PHARMACIE,Sud-Est,04 94 95 00 40,33 RUE ALPHONSE KARR,83700,ST RAPHAEL,-
CENTRE ADAPEI ROUILLAC,3845,,Laurent DURIEUX,EMS,Val de Loire,05 45 65 94 82,Rue Gachère,16170,ROUILLAC,-
CENTRE BASILE MOREAU,4606,,Laurent DURIEUX,EMS,Val de Loire,02 43 62 21 21,27 Rue de Durtal,72300,PRECIGNE,-
CENTRE D'HABITAT LES HAUTS DE LA CHEVRIE,15530,ADAPEI,Laurent DURIEUX,EMS,Val de Loire,02 51 45 36 00,324 CH AIZENAY,85190,AIZENAY,-
CENTRE D'HEBERGEMENT HERMINE,14583,ADAPEI,Aurore Auffret,EMS,Bretagne,02 99 48 32 16,2 Rue des Carmes,35120,DOL DE BRETAGNE,-
CENTRE DE CONVALESCENCE ILE DE BEAUTE,4594,,Dorian SANCHEZ,HÔPITAUX ET CLINIQUES ,Sud-Est,04 95 53 85 00 / 03,RN 193,20167,SARROLA CARCOPINO,-
CENTRE DE SOINS INFIRMIER POUR TOUS,10953,,Caroline VILLEMUR,AMBULATOIRE,Sud-Ouest,05 56 97 21 36,52 avenue de Magudas,33700,MERIGNAC,-
CENTRE DE VACANCES ADAPTEES THEODORE MONOD,3883,,Celine LUCION,EMS,Grand Nord-Est,03 88 01 47 10,Fondation Sonnenhof,67290,ERCKARTSWILLER,-
CENTRE DEPARTEMENTALE DE L'ENFANCE ET DE LA FAMILLE DE LA CR,7966,,Herve QUELO,EMS,Centre Auvergne,05 55 51 97 00,de la Famille de la Creuse,23000,GUERET,-
CENTRE FALEP FOYER EDUCATIF,18331,,Dorian SANCHEZ,EMS,Sud-Est,04 95 22 71 52,LES ATELIERS DE SUARTELLO II,20181,AJACCIO,-
CENTRE HABITAT LEOPOLD BELLAN,2092,,Celine LUCION,EMS,Grand Nord-Est,03 44 93 48 48,27 reue Saint Eloi,60400,NOYON,-
CENTRE HOSPITALIER SPECIALISE,4569,,Herve QUELO,EMS,Centre Auvergne,04 70 02 26 26,rue lambersart,03360,AINAY LE CHATEAU,-
