Désignation,Référence,Enseigne,Représentant,Famille,Secteur,Tél,adresse,code_postal,commune,TOPCLIENT,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
ARC EN CIEL EHPAD,1275,COLISEE,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 16 40 00,12 rue Marie Louise Dissard,31300,TOULOUSE,-,1.367944,43.60265,0.9322181385281384,,12 Rue Marie Louise Dissard 31300 Toulouse,housenumber,31555_5683_00012,12,12 Rue Marie Louise Dissard,Rue Marie Louise Dissard,31300,Toulouse,"31, Haute-Garonne, Occitanie",31555,,,,ok
ARC EN CIEL LES HESPERIDES EHPAD,15991,,Laurent DURIEUX,EHPAD,Val de Loire,02 43 97 22 50,4 Rue Marcel Graffin,72600,NEUFCHATEL EN SAOSNOIS,-,0.247245,48.373537,0.9136533395176252,,4 Rue Marcel Graffin 72600 Neufchâtel-en-Saosnois,housenumber,72215_0356_00004,4,4 Rue Marcel Graffin,Rue Marcel Graffin,72600,Neufchâtel-en-Saosnois,"72, Sarthe, Pays de la Loire",72215,,,,ok
ARDITEYA EHPAD,8193,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 29 39 70,A/A de Madame JUAN,64250,CAMBO LES BAINS,-,-1.373663,43.358428,0.5517440074211502,0.5196943356643356,Chemin de Macaye 64250 Cambo-les-Bains,street,64160_aolhqp,,Chemin de Macaye,Chemin de Macaye,64250,Cambo-les-Bains,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64160,,,,ok
ARPEGE EHPAD RESIDENCE DOMUSVI,4473,DOMUSVI,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 03 60 00,"66, avenue d'Espagne",64600,ANGLET,-,-1.525113,43.477224,0.9159454545454546,,66 Avenue d' Espagne 64600 Anglet,housenumber,64024_0740_00066,66,66 Avenue d' Espagne,Avenue d' Espagne,64600,Anglet,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64024,,,,ok
ASBL EVASION (ETABLISSEMENT BELGE),13663,,Export,EHPAD,Export,003265457827,"9, rue de Bavay",7380,QUIEVRAIN,-,3.251647,50.179529,0.4967077134986225,0.48791155844155837,9 Rue de Bavay 59400 Cambrai,housenumber,59122_0270_00009,9,9 Rue de Bavay,Rue de Bavay,59400,Cambrai,"59, Nord, Hauts-de-France",59122,,,,ok
ASSOCIATION LA PROVIDENCE,16287,,Herve QUELO,EHPAD,Centre Auvergne,04 73 89 19 81,9 rue de la Safournière,63500,ISSOIRE,-,3.247061,45.539536,0.9091563144963144,,9 Rue de la Safourniere 63500 Issoire,housenumber,63178_1470_00009,9,9 Rue de la Safourniere,Rue de la Safourniere,63500,Issoire,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",63178,,,,ok
ASSOCIATION MAISON SAINT JOSEPH,16036,,Aurore Auffret,EHPAD,Bretagne,02 98 84 55 90,14 PLACE SAINTE BARBE,29860,BOURG BLANC,-,-4.503737,48.499089,0.906627226107226,,14 Place Sainte-barbe 29860 Bourg-Blanc,housenumber,29015_0392_00014,14,14 Place Sainte-barbe,Place Sainte-barbe,29860,Bourg-Blanc,"29, Finistère, Bretagne",29015,,,,ok
ASSOCIATION MARIS STELLA EHPAD,12341,,Dorian SANCHEZ,EHPAD,Sud-Est,04 95 37 05 60,LIEU DIT TETTOLA,20217,SAINT FLORENT,-,9.318742,42.689949,0.609061797040169,,Route de Tettola 20217 Saint-Florent,street,2B298_0035,,Route de Tettola,Route de Tettola,20217,Saint-Florent,"2B, Haute-Corse, Corse",2B298,,,,ok
AU FIL DE L'EAU EHPAD,4316,,Herve QUELO,EHPAD,Centre Auvergne,04 73 33 43 83,"6, rue du Pont Chaput",63530,VOLVIC,-,3.039758,45.871077,0.8447253443526169,,Rue du Pont Chaput 63530 Volvic,street,63470_0340,,Rue du Pont Chaput,Rue du Pont Chaput,63530,Volvic,"63, Puy-de-Dôme, Auvergne-Rhône-Alpes",63470,,,,ok
AU GRE DU VENT EHPAD,12750,,Laurent DURIEUX,EHPAD,Val de Loire,05 55 84 89 89,Place Michel Labrousse,19240,ALLASSAC,-,1.476685,45.258458,0.9027044963144962,,Place Michel Labrousse 19240 Allassac,street,19005_0090,,Place Michel Labrousse,Place Michel Labrousse,19240,Allassac,"19, Corrèze, Nouvelle-Aquitaine",19005,,,,ok
AUBIN EHPAD,17043,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 63 14 65,11 Rue Delshens,12110,AUBIN,-,2.245045,44.528137,0.8880608417508417,,11 Rue Delshens 12110 Aubin,housenumber,12013_0410_00011,11,11 Rue Delshens,Rue Delshens,12110,Aubin,"12, Aveyron, Occitanie",12013,,,,ok
AUGUSTE ARVIER EHPAD,6005,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 80 20 12 36,"9, route de Dijon",21360,BLIGNY SUR OUCHE,-,4.66928,47.108916,0.9050590442890442,,9 Route de Dijon 21360 Bligny-sur-Ouche,housenumber,21087_0100_00009,9,9 Route de Dijon,Route de Dijon,21360,Bligny-sur-Ouche,"21, Côte-d'Or, Bourgogne-Franche-Comté",21087,,,,ok
AUX TROIS TILLEULS EHPAD,7925,,Dorian SANCHEZ,EHPAD,Sud-Est,04 98 05 29 30,CHEMIN DU PRUGNON,83470,ST MAXIMIN LA STE BAUME,-,5.854124,43.464206,0.7601965289256198,0.615006936026936,Chemin du Prugnon 83470 Saint-Maximin-la-Sainte-Baume,street,83116_0737,,Chemin du Prugnon,Chemin du Prugnon,83470,Saint-Maximin-la-Sainte-Baume,"83, Var, Provence-Alpes-Côte d'Azur",83116,,,,ok
BAPTISTE PAMS EHPAD,2629,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 39 10 17,Route nationale 115,66150,ARLES SUR TECH,-,2.648277,42.466946,0.9010363636363635,,Route Nationale 115 66150 Arles-sur-Tech,street,66009_kodz6j,,Route Nationale 115,Route Nationale 115,66150,Arles-sur-Tech,"66, Pyrénées-Orientales, Occitanie",66009,,,,ok
BATAILLE EHPAD,4093,,Laurent DURIEUX,EHPAD,Val de Loire,05 65 34 54 15,14 chemin Bataillé,46100,FIGEAC,-,2.040725,44.611592,0.8292583422459893,0.512380110864745,14 chemin de Bataillé 46100 Figeac,housenumber,46102_0190_00014,14,14 chemin de Bataillé,chemin de Bataillé,46100,Figeac,"46, Lot, Occitanie",46102,,,,ok
BEAU RIVAGE EHPAD,3848,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 23 04 08,12 avenue Beau Rivage,64200,BIARRITZ,-,6.707255,43.373718,0.574486883116883,0.5402798086124401,12 avenue beau rivage 83380 Roquebrune-sur-Argens,housenumber,83107_0282_00012,12,12 avenue beau rivage,avenue beau rivage,83380,Roquebrune-sur-Argens,"83, Var, Provence-Alpes-Côte d'Azur",83107,,,,ok
BEAU SOLEIL EHPAD VALREAS,6342,,Dorian SANCHEZ,EHPAD,Sud-Est,04 90 35 52 12,38 BIS IMPASSE BEAU SOLEIL,84600,VALREAS,-,4.988989,44.379278,0.7628175324675324,,38b Impasse Beau Soleil 84600 Valréas,housenumber,84138_0225_00038_b,38b,38b Impasse Beau Soleil,Impasse Beau Soleil,84600,Valréas,"84, Vaucluse, Provence-Alpes-Côte d'Azur",84138,,,,ok
BEL ADOUR EHPAD,1228,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 62 69 72 21,162 chemin des Carrières,32400,RISCLE,X,-0.088314,43.652226,0.9065817690417689,,162 Chemin des Carrières 32400 Riscle,housenumber,32344_0320_00162,162,162 Chemin des Carrières,Chemin des Carrières,32400,Riscle,"32, Gers, Occitanie",32344,32344,Riscle,,ok
BEL AIR EHPAD,15720,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 53 71 71,route D'Albi,81340,VALENCE D'ALBIGEOIS,-,2.386519,44.014689,0.9042276555023923,,Route d'Albi 81340 Valence-d'Albigeois,street,81308_d6leje,,Route d'Albi,Route d'Albi,81340,Valence-d'Albigeois,"81, Tarn, Occitanie",81308,,,,ok
BEL FONTAINE EHPAD,4859,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 79 59 47 56,A l'attention de Mme Chloé SENELLE,73130,LA CHAMBRE,-,6.297461,45.365384,0.43476757575757574,0.4255103931203931,Route de la Pontière 73130 La Chambre,street,73067_0120,,Route de la Pontière,Route de la Pontière,73130,La Chambre,"73, Savoie, Auvergne-Rhône-Alpes",73067,,,,ok
BELFONTAINE,8799,UGECAM,Aurelien COURTOISIER,EHPAD,Centre-Est,03 80 53 92 50,"3, rue Georges Bourguoin",21121,FONTAINE LES DIJON,-,5.029866,47.352368,0.8600519851576993,,3 Rue Georges Bourgoin 21121 Fontaine-lès-Dijon,housenumber,21278_1215_00003,3,3 Rue Georges Bourgoin,Rue Georges Bourgoin,21121,Fontaine-lès-Dijon,"21, Côte-d'Or, Bourgogne-Franche-Comté",21278,,,,ok
BELLEVUE EHPAD,6626,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 63 42 19 52,29 Avenue Abel Rolland,81390,BRIATEXTE,-,1.911993,43.750076,0.9095194736842104,,29 Avenue Abel Rolland 81390 Briatexte,housenumber,81039_0002_00029,29,29 Avenue Abel Rolland,Avenue Abel Rolland,81390,Briatexte,"81, Tarn, Occitanie",81039,,,,ok
BEREBISTE EHPAD,6664,ADGESSA,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 29 66 47,Route de Pessarou,64240,LABASTIDE CLAIRENCE,-,-1.23939,43.415455,0.8363129249011856,0.5502277176015473,Route de Pessarrou 64240 La Bastide-Clairence,street,64289_0100,,Route de Pessarrou,Route de Pessarrou,64240,La Bastide-Clairence,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64289,,,,ok
BERNARD LESGOURGUES EHPAD,3435,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 58 72 12 38,4 Impasse de la Pépininière,40130,CAPBRETON,-,-1.437658,43.633379,0.658199443413729,0.6568921706864563,4 Impasse de la Clairiere 40130 Capbreton,housenumber,40065_1070_00004,4,4 Impasse de la Clairiere,Impasse de la Clairiere,40130,Capbreton,"40, Landes, Nouvelle-Aquitaine",40065,,,,ok
BETHESDA EHPAD,2060,,Celine LUCION,EHPAD,Grand Nord-Est,03 89 32 71 00,26 rue des Vergers,68100,MULHOUSE,-,7.340235,47.753623,0.918647217630854,,26 Rue des Vergers 68100 Mulhouse,housenumber,68224_7540_00026,26,26 Rue des Vergers,Rue des Vergers,68100,Mulhouse,"68, Haut-Rhin, Grand Est",68224,,,,ok
BETHLEEM EHPAD,17271,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 85 88 84 15,15 Av. de Bethléem,71600,PARAY LE MONIAL,-,4.128373,46.452017,0.7934616528925619,0.687980101010101,15 Avenue de Bethléem 71600 Paray-le-Monial,housenumber,71342_0063_00015,15,15 Avenue de Bethléem,Avenue de Bethléem,71600,Paray-le-Monial,"71, Saône-et-Loire, Bourgogne-Franche-Comté",71342,,,,ok
BON ACCUEIL EHPAD,7328,,Aurelien COURTOISIER,EHPAD,Centre-Est,04 74 40 33 09,34 RUE CHARLES DE GAULLE,01150,LAGNIEU,-,5.350548,45.901654,0.773956976744186,,34 Avenue Charles de Gaulle 01150 Lagnieu,housenumber,01202_0055_00034,34,34 Avenue Charles de Gaulle,Avenue Charles de Gaulle,01150,Lagnieu,"01, Ain, Auvergne-Rhône-Alpes",01202,,,,ok
BON PASTEUR EHPAD ADGESSA,3478,ADGESSA,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 71 49 52,ADGESSA,33540,SAINT BRICE,-,-0.1428,44.697879,0.6272433333333333,0.5521928739002933,Saint-Brice,municipality,33379,,Saint-Brice,,33540,Saint-Brice,"33, Gironde, Nouvelle-Aquitaine",33379,,,,ok
CAIRE VAL EHPAD,8798,MGEN,Dorian SANCHEZ,EHPAD,Sud-Est,04 42 50 39 44,INSTITUT BOUQUET,13840,ROGNES,-,5.347615,43.665028,0.4194808225108225,0.39641853146853145,Cours Saint - Etienne 13840 Rognes,street,13082_7950,,Cours Saint - Etienne,Cours Saint - Etienne,13840,Rognes,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13082,,,,ok
CANTO MAI EHPAD,7949,,Dorian SANCHEZ,EHPAD,Sud-Est,04 98 00 26 26,175 CHEMIN CANTO MAI,83190,OLLIOULES,-,5.879308,43.139994,0.8383607925407925,,175 Chemin de Canto Mai 83190 Ollioules,housenumber,83090_0167_00175,175,175 Chemin de Canto Mai,Chemin de Canto Mai,83190,Ollioules,"83, Var, Provence-Alpes-Côte d'Azur",83090,,,,ok
CAPA HENRI LACLAU,2579,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 59 39 44 64,Rue de la Pistole,64400,OLORON STE MARIE,-,-0.619315,43.184901,0.8189282644628099,,Rue de la Pistole 64400 Oloron-Sainte-Marie,street,64422_1430,,Rue de la Pistole,Rue de la Pistole,64400,Oloron-Sainte-Marie,"64, Pyrénées-Atlantiques, Nouvelle-Aquitaine",64422,,,,ok
CASA ASSOLELLADA,2627,,Dorian SANCHEZ,EHPAD,Sud-Est,04 68 87 12 01,"1, rue San Pluget",66400,CERET,-,2.752564,42.489671,0.640254226044226,,1 Chemin de Sant Pluget 66400 Céret,housenumber,66049_0935_00001,1,1 Chemin de Sant Pluget,Chemin de Sant Pluget,66400,Céret,"66, Pyrénées-Orientales, Occitanie",66049,,,,ok
CASTEL GIROU EHPAD,3800,DOMIDEP,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 61 37 38 39,180 Avenue de Villemur,31620,CEPET,-,1.433586,43.751985,0.6491851515151514,,180 Route de Villemur 31620 Cépet,housenumber,31136_0014_00180,180,180 Route de Villemur,Route de Villemur,31620,Cépet,"31, Haute-Garonne, Occitanie",31136,,,,ok
CASTEL SAINT JACQUES EHPAD,14936,,Celine LUCION,EHPAD,Grand Nord-Est,02 35 23 43 01,229 Rue des Pommeraies,76160,ST JACQUES SUR DARNETAL,-,1.205177,49.437007,0.8422027272727272,,229 Rue des Pommeraies 76160 Saint-Jacques-sur-Darnétal,housenumber,76591_0067_00229,229,229 Rue des Pommeraies,Rue des Pommeraies,76160,Saint-Jacques-sur-Darnétal,"76, Seine-Maritime, Normandie",76591,,,,ok
CCAS DU LAC EHPAD,6850,SOLEA,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 46 84 81,162 rue François Fabié,12290,PONT DE SALARS,-,2.726172,44.285353,0.9085803382663847,,162 Rue Francois Fabie 12290 Pont-de-Salars,housenumber,12185_uzfmwq_00162,162,162 Rue Francois Fabie,Rue Francois Fabie,12290,Pont-de-Salars,"12, Aveyron, Occitanie",12185,,,,ok
CCAS LA VALLEE DU CHER,15074,,Laurent DURIEUX,EHPAD,Val de Loire,02 47 80 30 00,2 place Sisley,37200,TOURS,-,0.712613,47.370577,0.7013251948051947,0.44531351097178684,Place Sisley 37000 Tours,locality,37261_4659,,Place Sisley,,37000,Tours,"37, Indre-et-Loire, Centre-Val de Loire",37261,,,,ok
CCAS LES VARENNES DE LOIRE,13398,CCAS,Laurent DURIEUX,EHPAD,Val de Loire,02 47 77 40 00,6 Rue Jean Messire,37000,TOURS,-,0.671868,47.389574,0.9096175757575756,,6 Rue Jean Messire 37000 Tours,housenumber,37261_2720_00006,6,6 Rue Jean Messire,Rue Jean Messire,37000,Tours,"37, Indre-et-Loire, Centre-Val de Loire",37261,,,,ok
CECILE BOUSQUET EHPAD-MULTI,0302,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 34 26 92 69,129 avenue Aimé Césaire,31660,BESSIERES,-,1.596978,43.782788,0.9027590442890442,,129 Avenue Aime Cesaire 31660 Bessières,housenumber,31066_0568_00129,129,129 Avenue Aime Cesaire,Avenue Aime Cesaire,31660,Bessières,"31, Haute-Garonne, Occitanie",31066,,,,ok
CERILLY EHPAD,4158,,Herve QUELO,EHPAD,Centre Auvergne,04 70 67 50 29,2 avenue de la vigne,03350,CERILLY,-,2.826477,46.613329,0.7347361471861471,0.5762554545454546,2 Avenue de la Vigne au Bois 03350 Cérilly,housenumber,03048_0445_00002,2,2 Avenue de la Vigne au Bois,Avenue de la Vigne au Bois,03350,Cérilly,"03, Allier, Auvergne-Rhône-Alpes",03048,,,,ok
CHAMPFLEURI EHPAD,3947,,Aurore Auffret,EHPAD,Bretagne,02 40 26 51 82,26 avenue de l'Atlantique,44116,VIEILLEVIGNE,-,-1.442289,46.966349,0.9170149586776859,0.6278909647495362,26 Avenue de l’Atlantique 44116 Vieillevigne,housenumber,44216_0020_00026,26,26 Avenue de l’Atlantique,Avenue de l’Atlantique,44116,Vieillevigne,"44, Loire-Atlantique, Pays de la Loire",44216,,,,ok
CHARLES MICHELLAND EHPAD,13374,,Aurelien COURTOISIER,EHPAD,Centre-Est,03 85 72 01 32,29 rue Charles Michelland,71330,ST GERMAIN DU BOIS,-,5.241672,46.751471,0.8332894276094275,,29 Rue Charles Michelland 71330 Saint-Germain-du-Bois,housenumber,71419_0032_00029,29,29 Rue Charles Michelland,Rue Charles Michelland,71330,Saint-Germain-du-Bois,"71, Saône-et-Loire, Bourgogne-Franche-Comté",71419,,,,ok
CHATEAU DE BEAURECUEIL EHPAD,3941,,Dorian SANCHEZ,EHPAD,Sud-Est,04 42 37 95 00,Avenue Louis Sylvestre,13100,BEAURECUEIL,-,5.544249,43.510422,0.898170909090909,,Avenue Louis Sylvestre 13100 Beaurecueil,street,13012_8840,,Avenue Louis Sylvestre,Avenue Louis Sylvestre,13100,Beaurecueil,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13012,,,,ok
CHATEAU DE NANTOU EHPAD,15646,,Herve QUELO,EHPAD,Centre Auvergne,03 86 41 11 33,30 ROUTE AILLANT NANTOU,89240,POURRAIN,-,3.403291,47.781932,0.699780909090909,0.5221032186732187,30 Route d'Aillant 89240 Pourrain,housenumber,89311_0015_00030,30,30 Route d'Aillant,Route d'Aillant,89240,Pourrain,"89, Yonne, Bourgogne-Franche-Comté",89311,,,,ok
CHATEAU DE PARDIAC EHPAD,3385,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 53 20 60 20,Lieu-dit Pomyers,47250,SAMAZAN,-,0.114248,44.436271,0.6046175757575757,0.5591630303030304,Pomyers 47250 Samazan,street,47285_ds7fqy,,Pomyers,Pomyers,47250,Samazan,"47, Lot-et-Garonne, Nouvelle-Aquitaine",47285,,,,ok
CHATEAU DE VERNANGE EHPAD +++,4406,DOMIDEP,Aurelien COURTOISIER,EHPAD,Centre-Est,04 72 26 16 16,Chateau de Vernange,01390,ST ANDRE DE CORCY,-,4.954415,45.930823,0.5477200308166409,0.5377740074211502,Impasse de la Vernangère 01390 Saint-André-de-Corcy,street,01333_1169,,Impasse de la Vernangère,Impasse de la Vernangère,01390,Saint-André-de-Corcy,"01, Ain, Auvergne-Rhône-Alpes",01333,,,,ok
CHATEAU POMEROL EHPAD,7036,,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 57 77 50 00,21 avenue des Griffons,33530,BASSENS,X,-0.516457,44.89118,0.900820404040404,,21 Avenue des Griffons 33530 Bassens,housenumber,33032_0379_00021,21,21 Avenue des Griffons,Avenue des Griffons,33530,Bassens,"33, Gironde, Nouvelle-Aquitaine",33032,,,,ok
CHATEAU VACQUEY EHPAD DOMUSVI,6981,DOMUSVI,Caroline VILLEMUR,EHPAD,Sud-Ouest,05 56 72 91 45,56 avenue de Vacquey,33370,SALLEBOEUF,-,-0.396805,44.860331,0.9052463144963144,,56 Avenue de Vacquey 33370 Sallebœuf,housenumber,33496_0260_00056,56,56 Avenue de Vacquey,Avenue de Vacquey,33370,Sallebœuf,"33, Gironde, Nouvelle-Aquitaine",33496,,,,ok
CLAIRBOIS EHPAD,9144,MBV,Laurent DURIEUX,EHPAD,Val de Loire,05 45 66 34 34,LA BOISSIERE,16410,DIRAC,-,0.216778,45.594692,0.866611515151515,0.6479624242424242,La Boissière 16410 Dirac,street,16120_qo8hy4,,La Boissière,La Boissière,16410,Dirac,"16, Charente, Nouvelle-Aquitaine",16120,,,,ok
CLOS SAINT FRANCOIS EHPAD,9194,,Dorian SANCHEZ,EHPAD,Sud-Est,05 65 98 18 40,9 place de la Collégiale,12380,ST SERNIN SUR RANCE,-,2.602396,43.882355,0.8265403367003366,,9 Place de la Collègiale 12380 Saint-Sernin-sur-Rance,housenumber,12248_0033_00009,9,9 Place de la Collègiale,Place de la Collègiale,12380,Saint-Sernin-sur-Rance,"12, Aveyron, Occitanie",12248,,,,ok
COAT KERHUEL EHPAD,4011,,Aurore Auffret,EHPAD,Bretagne,02 98 66 62 98,IMPASSE DE LA LANDE,29500,ERGUE GABERIC,-,-4.019394,48.019444,0.9086326806526805,0.6819692490118576,Impasse de la Lande 29500 Ergué-Gabéric,street,29051_0460,,Impasse de la Lande,Impasse de la Lande,29500,Ergué-Gabéric,"29, Finistère, Bretagne",29051,,,,ok
